,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,gérant,matelots,reçoivent,Le gérant que les matelots reçoivent écrit souvent.,visual
1,1,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,comédiens,peintres,attendent,Ces comédiens loin des peintres attendent ces plombiers.,visual
2,2,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,libraire,marchand,hait,Ce libraire que ce marchand hait répond lentement.,visual
3,3,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,facteurs,juge,haïssent,Ces facteurs que ce juge haïssent répondent aussitôt.,visual
4,4,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,marchand,matelot,élisent,Un marchand que ce matelot élisent doit partir.,visual
5,5,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,gérant,patients,défendent,Un gérant que ces patients défendent répond lentement.,visual
6,6,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,libraire,pompiers,attendent,Ce libraire proche des pompiers attendent un prêtre.,visual
7,7,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,client,haïssent,Le chanteur que le client haïssent sait danser.,visual
8,8,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,notaires,plombiers,défendent,Loin des notaires des plombiers défendent ces pompiers.,visual
9,9,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,facteur,bénissent,Loin du boucher le facteur bénissent le marin.,visual
10,10,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chef,malade,décrivent,Près du chef ce malade décrivent ce prêtre.,visual
11,11,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,gérant,patient,décrit,Le gérant loin du patient décrit ce pompier.,visual
12,12,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,chef,coiffeur,décrit,Ce chef près du coiffeur décrit un matelot.,visual
13,13,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,chefs,juge,décrivent,Les chefs loin du juge décrivent les notaires.,visual
14,14,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,comédien,endorment,Le boucher proche du comédien endorment ce juge.,visual
15,15,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,gardiens,malades,entend,Les gardiens que ces malades entend partent demain.,visual
16,16,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,libraires,prêtres,élit,Près des libraires des prêtres élit des serveurs.,visual
17,17,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,marins,patient,reçoit,Les marins loin du patient reçoit les serveurs.,visual
18,18,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,facteurs,marins,émeut,Proche des facteurs ces marins émeut les matelots.,visual
19,19,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,comédien,marchand,hait,Près du comédien un marchand hait ce notaire.,visual
20,20,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,bouchers,marchand,bénit,Les bouchers que le marchand bénit écrivent toujours.,visual
