,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,dentistes,plaint,Des comédiens que ces dentistes plaint partent lentement.,auditory
1,trial_2,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,gérant,médecin,punit,Le gérant que le médecin punit vomit souvent.,auditory
2,trial_3,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,facteurs,libraire,endorment,Ces facteurs proche du libraire endorment ces notaires.,auditory
3,trial_4,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,gérants,malade,bénit,Les gérants proche du malade bénit les serveurs.,auditory
4,trial_5,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,boucher,chanteurs,suit,Un boucher auprès des chanteurs suit le gardien.,auditory
5,trial_6,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,coiffeur,dentistes,suit,Le coiffeur loin des dentistes suit le pompier.,auditory
6,trial_7,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,dentistes,plombiers,hait,Loin des dentistes des plombiers hait ces soldats.,auditory
7,trial_8,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,libraires,patient,suivent,Ces libraires que le patient suivent vomissent encore.,auditory
8,trial_9,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,facteur,matelot,attend,Ce facteur que ce matelot attend repart aussitôt.,auditory
9,trial_10,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,champion,client,séduisent,Près du champion un client séduisent un marchand.,auditory
10,trial_11,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,juge,médecin,émeuvent,Ce juge que le médecin émeuvent sait nager.,auditory
11,trial_12,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,marins,matelots,plaint,Ces marins auprès des matelots plaint les plombiers.,auditory
12,trial_13,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,clients,peintres,décrivent,Les clients que ces peintres décrivent repartent déjà.,auditory
13,trial_14,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,gérants,juges,craignent,Loin des gérants ces juges craignent ces patients.,auditory
14,trial_15,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,gérant,notaires,entend,Le gérant que les notaires entend répond lentement.,auditory
