trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,chefs,libraires,attend,Des chefs loin des libraires attend des plombiers.,auditory,plombiers,True,5.0
trial_2,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,clients,gérant,séduit,Les clients que ce gérant séduit mentent souvent.,auditory,clients,True,5.5
trial_3,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,chanteurs,facteurs,punit,Ces chanteurs que les facteurs punit mentent souvent.,auditory,chanteurs,True,6.0
trial_4,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,juge,matelots,décrivent,Un juge loin des matelots décrivent ce prêtre.,auditory,ce,True,6.5
trial_5,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,client,marin,émeut,Un client près du marin émeut ce peintre.,auditory,le,False,7.0
trial_6,GS,sr_pp,no,yes,no,None,plur,plur,plur,facteurs,juges,haïssent,Loin des facteurs les juges haïssent les soldats.,auditory,facteurs,True,5.0
trial_7,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,champions,marins,défend,Près des champions des marins défend les prêtres.,auditory,ces,False,5.5
trial_8,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,comédien,gardiens,attendent,Ce comédien que ces gardiens attendent part lentement.,auditory,Ce,True,6.0
trial_9,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,libraires,marchands,servent,Des libraires que ces marchands servent peignent rarement.,auditory,parfois,False,6.5
trial_10,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,chanteur,facteurs,décrit,Le chanteur près des facteurs décrit un serveur.,auditory,près,True,7.0
trial_11,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,malade,patient,défendent,Proche du malade le patient défendent un plombier.,auditory,patient,True,5.0
trial_12,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,coiffeur,gérant,élisent,Le coiffeur près du gérant élisent un plombier.,auditory,ce,False,5.5
trial_13,GS,sr_pp,no,yes,no,None,sing,sing,sing,boucher,peintre,séduit,Proche du boucher un peintre séduit un pompier.,auditory,Loin,False,6.0
trial_14,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,patients,plombier,servent,Ces patients proche du plombier servent les prêtres.,auditory,patients,True,6.5
trial_15,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,marchands,patient,servent,Ces marchands que ce patient servent mentent souvent.,auditory,mentent,True,7.0
trial_16,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,champions,facteurs,servent,Les champions loin des facteurs servent les vendeurs.,auditory,craignent,False,5.0
trial_17,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,champions,chanteur,entend,Ces champions loin du chanteur entend ces malades.,auditory,hait,False,5.5
trial_18,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,facteur,gardien,décrivent,Ce facteur que le gardien décrivent doit manger.,auditory,Ce,True,6.0
trial_19,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,chanteur,marchand,émeut,Un chanteur que ce marchand émeut sait nager.,auditory,que,True,6.5
trial_20,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,gardien,médecins,hait,Un gardien que ces médecins hait sait danser.,auditory,écrit,False,7.0
trial_21,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,patients,pompier,entend,Ces patients que le pompier entend doivent dormir.,visual,hait,False,5.0
trial_22,GS,sr_pp,no,yes,no,None,sing,sing,sing,chef,dentiste,hait,Auprès du chef le dentiste hait le malade.,visual,le,True,5.5
trial_23,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,coiffeurs,danseurs,bénissent,Les coiffeurs que ces danseurs bénissent répondent lentement.,visual,danseurs,True,6.0
trial_24,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,gérant,marchands,attend,Le gérant loin des marchands attend un prêtre.,visual,près,False,6.5
trial_25,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,facteur,malades,bénissent,Ce facteur loin des malades bénissent un médecin.,visual,proche,False,7.0
trial_26,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,matelot,plombier,plaignent,Un matelot près du plombier plaignent ce soldat.,visual,élisent,False,5.0
trial_27,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,comédiens,malade,plaignent,Ces comédiens que ce malade plaignent mentent parfois.,visual,ce,True,5.5
trial_28,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,marchand,matelots,émeut,Le marchand que les matelots émeut peint parfois.,visual,parfois,True,6.0
trial_29,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,champions,matelots,défend,Proche des champions des matelots défend les peintres.,visual,défend,True,6.5
trial_30,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,boucher,chanteur,reçoivent,Loin du boucher le chanteur reçoivent le coiffeur.,visual,un,False,7.0
trial_31,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,facteurs,gérants,émeuvent,Les facteurs proche des gérants émeuvent des prêtres.,visual,facteurs,True,5.0
trial_32,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,marchand,marins,suivent,Le marchand que ces marins suivent écrit toujours.,visual,comédien,False,5.5
trial_33,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,coiffeurs,serveurs,entend,Ces coiffeurs loin des serveurs entend ces vendeurs.,visual,attend,False,6.0
