,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GSLS,obj,no,no,yes,no,None,plur,plur,plur,facteurs,plombiers,plaignent,Les facteurs que les plombiers plaignent peignent toujours.,auditory
1,trial_2,GDLS,obj,no,no,no,yes,None,plur,sing,sing,dentistes,matelot,reçoit,Des dentistes que le matelot reçoit répondent aussitôt.,auditory
2,trial_3,GDLS,obj,no,no,no,yes,None,plur,sing,sing,clients,marin,bénit,Ces clients que ce marin bénit repartent déjà.,auditory
3,trial_4,GSLD,obj,no,yes,no,no,6,plur,sing,plur,champions,marin,craignent,Ces champions que ce marin craignent savent nager.,auditory
4,trial_5,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,clients,prêtres,entend,Des clients que les prêtres entend veulent mourir.,auditory
5,trial_6,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,chanteur,libraire,suivent,Un chanteur que ce libraire suivent repart déjà.,auditory
6,trial_7,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,danseurs,vomissent,attendent,Ces danseurs auprès des vomissent attendent les gérants.,auditory
7,trial_8,GSLS,obj,no,no,yes,no,None,plur,plur,plur,danseurs,facteurs,bénissent,Ces danseurs que les facteurs bénissent repartent déjà.,auditory
8,trial_9,GSLS,pp,no,no,yes,no,None,plur,plur,plur,bouchers,chanteurs,entendent,Les bouchers auprès des chanteurs entendent les soldats.,auditory
9,trial_10,GSLS,pp,no,no,yes,no,None,sing,sing,sing,chef,coiffeur,bénit,Le chef loin du coiffeur bénit ce marchand.,auditory
10,trial_11,GDLS,obj,no,no,no,yes,None,plur,sing,sing,facteurs,gardien,plaint,Des facteurs que le gardien plaint repartent déjà.,auditory
11,trial_12,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,chef,patient,émeut,Un chef que le patient émeut patient dormir.,auditory
12,trial_13,GSLD,obj,no,yes,no,no,6,sing,plur,sing,champion,coiffeurs,reçoit,Le champion que ces coiffeurs reçoit peint rarement.,auditory
13,trial_14,GSLD,obj,no,yes,no,no,6,plur,sing,plur,notaires,serveur,reçoivent,Ces notaires que ce serveur reçoivent peignent toujours.,auditory
14,trial_15,GSLD,obj,no,yes,no,no,6,sing,plur,sing,boucher,plombiers,défend,Ce boucher que les plombiers défend repart aussitôt.,auditory
15,trial_16,GSLS,pp,no,no,yes,no,None,plur,plur,plur,coiffeurs,gardiens,attendent,Des coiffeurs proche des gardiens attendent des patients.,auditory
16,trial_17,GDLS,pp,no,yes,no,no,6,sing,plur,plur,comédien,gardiens,décrivent,Un comédien proche des gardiens décrivent le juge.,auditory
17,trial_18,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,champions,coiffeurs,bénit,Les champions près des coiffeurs bénit des marchands.,auditory
18,trial_19,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,chanteurs,répondent,défendent,Les chanteurs près des répondent défendent ces vendeurs.,auditory
19,trial_20,GDLS,obj,no,no,no,yes,None,sing,plur,plur,danseur,matelots,élisent,Ce danseur que les matelots élisent part demain.,auditory
20,trial_21,GSLS,obj,no,no,yes,no,None,sing,sing,sing,chanteur,chef,séduit,Le chanteur que le chef séduit part demain.,auditory
21,trial_22,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,bouchers,répondent,attendent,Des bouchers près des répondent attendent ces vendeurs.,auditory
22,trial_23,GSLS,obj,no,no,yes,no,None,plur,plur,plur,marchands,serveurs,attendent,Des marchands que les serveurs attendent vomissent souvent.,auditory
23,trial_24,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,chanteur,chef,décrivent,Le chanteur que le chef décrivent répond lentement.,auditory
24,trial_25,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,comédien,dentiste,émeut,Un comédien que ce dentiste émeut gardien danser.,auditory
25,trial_26,GSLD,obj,no,yes,no,no,6,sing,plur,sing,gérant,marchands,plaint,Un gérant que les marchands plaint repart dehors.,auditory
26,trial_27,GSLS,pp,no,no,yes,no,None,sing,sing,sing,chanteur,coiffeur,reçoit,Ce chanteur loin du coiffeur reçoit ce gérant.,auditory
27,trial_28,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,champions,dentistes,défend,Ces champions près des dentistes défend des médecins.,auditory
