trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GSLS,lr_obj,no,yes,no,,sing,sing,sing,client,gardien,punit,Un client que ce gardien punit veut mourir.,visual,punit,True,5.0
trial_2,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,boucher,patients,hait,Un boucher que les patients hait répond aussitôt.,visual,Ce,False,5.5
trial_3,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,champions,clients,bénit,Les champions proche des clients bénit les dentistes.,visual,dentistes,True,6.0
trial_4,GDLS,lr_obj,no,no,yes,,sing,plur,plur,client,marins,craignent,Ce client que ces marins craignent répond lentement.,visual,marins,True,6.5
trial_5,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,malade,émeuvent,Ce boucher loin du malade émeuvent ce matelot.,visual,loin,True,7.0
trial_6,GS,sr_pp,no,yes,no,,plur,plur,plur,dentistes,gérants,haïssent,Loin des dentistes les gérants haïssent les marins.,visual,les,True,5.0
trial_7,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,coiffeurs,marin,reçoit,Ces coiffeurs près du marin reçoit ces prêtres.,visual,défend,False,5.5
trial_8,GSLD,lr_pp,no,no,yes,,plur,sing,plur,clients,danseur,servent,Des clients proche du danseur servent les notaires.,visual,servent,True,6.0
trial_9,GS,sr_pp,no,yes,no,,sing,sing,sing,chanteur,coiffeur,endort,Loin du chanteur ce coiffeur endort un patient.,visual,un,True,6.5
trial_10,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chefs,malades,entend,Des chefs que ces malades entend répondent aussitôt.,visual,sert,False,7.0
trial_11,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,facteur,peintre,endorment,Le facteur que ce peintre endorment part demain.,visual,matelot,False,5.0
trial_12,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,chefs,facteurs,décrit,Près des chefs ces facteurs décrit les matelots.,visual,facteurs,True,5.5
trial_13,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,chanteur,serveurs,décrivent,Le chanteur auprès des serveurs décrivent ce soldat.,visual,pompier,False,6.0
trial_14,GSLS,lr_obj,no,yes,no,,plur,plur,plur,comédiens,marins,endorment,Les comédiens que les marins endorment veulent mourir.,visual,Les,True,6.5
trial_15,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,juge,peintre,reçoivent,Près du juge un peintre reçoivent ce vendeur.,visual,reçoivent,True,7.0
trial_16,GSLS,lr_pp,no,yes,no,,plur,plur,plur,gérants,juges,plaignent,Ces gérants près des juges plaignent des peintres.,visual,des,True,5.0
