,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GDLS,pp,no,yes,no,no,6,sing,plur,plur,danseur,dentistes,servent,Un danseur près des dentistes servent le pompier.,visual
1,1,GSLD,pp,no,no,no,yes,None,plur,sing,plur,chefs,pompier,élisent,Ces chefs loin du pompier élisent les serveurs.,visual
2,2,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,gérant,matelot,bénit,Ce gérant que ce matelot bénit juge cuisiner.,visual
3,3,GSLD,obj,no,yes,no,no,6,plur,sing,plur,notaires,plombier,punissent,Ces notaires que ce plombier punissent partent demain.,visual
4,4,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,coiffeurs,malades,hait,Des coiffeurs auprès des malades hait des plombiers.,visual
5,5,GDLS,obj,no,no,no,yes,None,plur,sing,sing,chefs,notaire,séduit,Des chefs que le notaire séduit écrivent rarement.,visual
6,6,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,comédien,matelot,punissent,Ce comédien que ce matelot punissent part lentement.,visual
7,7,GDLS,obj,no,no,no,yes,None,sing,plur,plur,coiffeur,comédiens,élisent,Un coiffeur que ces comédiens élisent veut manger.,visual
8,8,GDLS,pp,no,yes,no,no,6,plur,sing,sing,clients,coiffeur,reçoit,Ces clients près du coiffeur reçoit ces soldats.,visual
9,9,GDLS,obj,no,no,no,yes,None,plur,sing,sing,gérants,juge,reçoit,Des gérants que le juge reçoit doivent payer.,visual
10,10,GDLS,obj,no,no,no,yes,None,sing,plur,plur,gardien,patients,entendent,Un gardien que les patients entendent repart déjà.,visual
11,11,GSLS,obj,no,no,yes,no,None,sing,sing,sing,client,plombier,suit,Un client que le plombier suit sait cuisiner.,visual
12,12,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,boucher,danseur,craignent,Un boucher que ce danseur craignent veut mourir.,visual
13,13,GSLD,obj,no,yes,no,no,6,plur,sing,plur,danseurs,gardien,entendent,Des danseurs que ce gardien entendent savent conduire.,visual
14,14,GSLD,pp,no,no,no,yes,None,plur,sing,plur,coiffeurs,juge,plaignent,Les coiffeurs proche du juge plaignent des malades.,visual
15,15,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,libraire,notaire,punissent,Ce libraire loin du notaire punissent le prêtre.,visual
16,16,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,chanteur,notaire,endorment,Ce chanteur proche du notaire endorment le pompier.,visual
17,17,GSLD,pp,no,no,no,yes,None,sing,plur,sing,chef,dentistes,émeut,Le chef proche des dentistes émeut un vendeur.,visual
18,18,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,chef,gardien,craignent,Le chef que le gardien craignent peint rarement.,visual
