trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,champion,comédien,défendent,Le champion près du comédien défendent le marin.,auditory,libraire,False,5.0
trial_2,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,danseur,malades,sert,Un danseur que ces malades sert ment parfois.,auditory,Un,True,5.5
trial_3,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,comédiens,marin,bénit,Ces comédiens loin du marin bénit ces peintres.,auditory,bouchers,False,6.0
trial_4,GS,sr_pp,no,yes,no,,sing,sing,sing,dentiste,facteur,décrit,Loin du dentiste ce facteur décrit un juge.,auditory,facteur,True,6.5
trial_5,GSLD,lr_pp,no,no,yes,,plur,sing,plur,peintres,pompier,craignent,Ces peintres loin du pompier craignent ces prêtres.,auditory,craignent,True,7.0
trial_6,GDLS,lr_obj,no,no,yes,,sing,plur,plur,chanteur,marchands,défendent,Un chanteur que les marchands défendent vomit parfois.,auditory,parfois,True,5.0
trial_7,GSLS,lr_obj,no,yes,no,,sing,sing,sing,juge,médecin,sert,Le juge que ce médecin sert vomit parfois.,auditory,endort,False,5.5
trial_8,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,dentistes,marchand,émeuvent,Les dentistes que ce marchand émeuvent doivent payer.,auditory,pompiers,False,6.0
trial_9,GSLD,lr_pp,no,no,yes,,sing,plur,sing,client,comédiens,défend,Ce client loin des comédiens défend ce médecin.,auditory,les,False,6.5
trial_10,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,comédien,médecin,défendent,Ce comédien que ce médecin défendent répond rarement.,auditory,que,True,7.0
trial_11,GSLS,lr_pp,no,yes,no,,plur,plur,plur,champions,dentistes,haïssent,Les champions près des dentistes haïssent des matelots.,auditory,champions,True,5.0
trial_12,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,comédiens,facteurs,suit,Auprès des comédiens ces facteurs suit les patients.,auditory,des,True,5.5
trial_13,GDLS,lr_obj,no,no,yes,,plur,sing,sing,coiffeurs,comédien,hait,Les coiffeurs que ce comédien hait répondent aussitôt.,auditory,rarement,False,6.0
trial_14,GS,sr_pp,no,yes,no,,plur,plur,plur,facteurs,patients,entendent,Près des facteurs les patients entendent des pompiers.,auditory,plombiers,False,6.5
trial_15,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,chefs,gérants,séduit,Les chefs loin des gérants séduit des malades.,auditory,serveurs,False,7.0
trial_16,GSLS,lr_pp,no,yes,no,,sing,sing,sing,marin,pompier,entend,Un marin auprès du pompier entend ce serveur.,auditory,champion,False,5.0
trial_17,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,danseur,médecin,entendent,Loin du danseur le médecin entendent un serveur.,auditory,médecin,True,5.5
trial_18,GSLS,lr_obj,no,yes,no,,plur,plur,plur,chefs,plombiers,émeuvent,Les chefs que les plombiers émeuvent doivent manger.,auditory,Ces,False,6.0
trial_19,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,boucher,marchands,suivent,Le boucher loin des marchands suivent ce serveur.,auditory,gardien,False,6.5
trial_20,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,gérants,libraires,élit,Ces gérants que ces libraires élit partent lentement.,auditory,répondent,False,7.0
trial_21,GS,sr_pp,no,yes,no,,plur,plur,plur,coiffeurs,gérants,suivent,Auprès des coiffeurs les gérants suivent des marchands.,visual,des,True,5.0
trial_22,GSLS,lr_pp,no,yes,no,,plur,plur,plur,malades,médecins,bénissent,Les malades près des médecins bénissent ces prêtres.,visual,séduisent,False,5.5
trial_23,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,chanteur,danseurs,élisent,Le chanteur près des danseurs élisent un dentiste.,visual,près,True,6.0
trial_24,GSLS,lr_pp,no,yes,no,,sing,sing,sing,client,marchand,défend,Un client auprès du marchand défend ce marin.,visual,libraire,False,6.5
trial_25,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,chefs,danseur,décrit,Ces chefs près du danseur décrit les plombiers.,visual,près,True,7.0
trial_26,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,client,notaire,attendent,Ce client que ce notaire attendent doit payer.,visual,Le,False,5.0
trial_27,GDLS,lr_obj,no,no,yes,,sing,plur,plur,client,libraires,décrivent,Un client que ces libraires décrivent veut manger.,visual,Le,False,5.5
trial_28,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,champions,danseurs,élit,Les champions que ces danseurs élit répondent aussitôt.,visual,Des,False,6.0
trial_29,GS,sr_pp,no,yes,no,,sing,sing,sing,médecin,pompier,sert,Loin du médecin un pompier sert un soldat.,visual,soldat,True,6.5
trial_30,GSLD,lr_pp,no,no,yes,,sing,plur,sing,gardien,libraires,suit,Un gardien proche des libraires suit le prêtre.,visual,près,False,7.0
trial_31,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,coiffeur,médecin,punissent,Proche du coiffeur le médecin punissent le pompier.,visual,le,True,5.0
trial_32,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,comédiens,marchands,défend,Les comédiens auprès des marchands défend les plombiers.,visual,plombiers,True,5.5
trial_33,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,marins,entendent,Les champions que ces marins entendent vomissent encore.,visual,ces,True,6.0
trial_34,GDLS,lr_obj,no,no,yes,,plur,sing,sing,champions,matelot,suit,Les champions que ce matelot suit repartent aussitôt.,visual,punit,False,6.5
trial_35,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,facteurs,gardiens,bénit,Près des facteurs des gardiens bénit ces notaires.,visual,serveurs,False,7.0
trial_36,GSLS,lr_obj,no,yes,no,,sing,sing,sing,champion,client,décrit,Un champion que ce client décrit part lentement.,visual,le,False,5.0
