trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,marchands,notaires,séduit,Proche des marchands des notaires séduit des pompiers.,visual,peintres,False,5.0
trial_2,GS,sr_pp,no,yes,no,None,sing,sing,sing,chef,client,entend,Loin du chef ce client entend le serveur.,visual,un,False,5.5
trial_3,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,champions,libraire,endort,Les champions que ce libraire endort peignent rarement.,visual,écrivent,False,6.0
trial_4,GS,sr_pp,no,yes,no,None,plur,plur,plur,chanteurs,malades,défendent,Près des chanteurs ces malades défendent ces serveurs.,visual,ces,True,6.5
trial_5,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,matelot,patients,hait,Un matelot auprès des patients hait ce peintre.,visual,des,True,7.0
trial_6,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,marchands,peintre,craint,Ces marchands loin du peintre craint les soldats.,visual,marchands,True,5.0
trial_7,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,facteur,gardien,émeuvent,Un facteur loin du gardien émeuvent un malade.,visual,serveur,False,5.5
trial_8,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,facteur,libraires,attendent,Le facteur auprès des libraires attendent le pompier.,visual,le,True,6.0
trial_9,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,dentiste,patient,décrivent,Un dentiste que le patient décrivent repart demain.,visual,décrivent,True,6.5
trial_10,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,champion,coiffeurs,défendent,Ce champion que les coiffeurs défendent écrit rarement.,visual,ces,False,7.0
trial_11,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,boucher,gardien,défend,Un boucher que le gardien défend sait nager.,visual,défend,True,5.0
trial_12,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,coiffeur,juge,servent,Proche du coiffeur un juge servent le vendeur.,visual,coiffeur,True,5.5
trial_13,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,facteurs,libraires,reçoit,Des facteurs que les libraires reçoit savent danser.,visual,serveurs,False,6.0
trial_14,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,gardiens,malades,défend,Les gardiens proche des malades défend ces serveurs.,visual,craint,False,6.5
trial_15,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,chef,marchands,émeut,Ce chef que les marchands émeut veut partir.,visual,peint,False,7.0
trial_16,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,notaire,peintre,élit,Un notaire loin du peintre élit un serveur.,visual,ce,False,5.0
trial_17,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,bouchers,marchand,servent,Des bouchers proche du marchand servent les patients.,visual,les,True,5.5
trial_18,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,matelots,peintres,séduisent,Ces matelots que ces peintres séduisent veulent partir.,visual,coiffeurs,False,6.0
trial_19,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,comédiens,libraires,décrivent,Les comédiens loin des libraires décrivent ces serveurs.,visual,comédiens,True,6.5
trial_20,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,clients,libraire,décrivent,Ces clients que le libraire décrivent peignent parfois.,visual,le,True,7.0
trial_21,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,dentistes,prêtres,plaignent,Ces dentistes proche des prêtres plaignent des serveurs.,auditory,proche,True,5.0
trial_22,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,coiffeur,facteur,attend,Le coiffeur auprès du facteur attend ce patient.,auditory,coiffeur,True,5.5
trial_23,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,gardiens,malades,émeuvent,Ces gardiens que ces malades émeuvent partent demain.,auditory,ces,True,6.0
trial_24,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,gérant,marins,craint,Ce gérant que ces marins craint veut partir.,auditory,gérants,False,6.5
trial_25,GS,sr_pp,no,yes,no,None,plur,plur,plur,bouchers,gardiens,attendent,Proche des bouchers ces gardiens attendent les prêtres.,auditory,les,True,7.0
trial_26,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,juges,libraires,entend,Proche des juges des libraires entend les patients.,auditory,ces,False,5.0
trial_27,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,chef,marchand,attendent,Auprès du chef ce marchand attendent le plombier.,auditory,un,False,5.5
trial_28,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,chefs,gardien,entend,Des chefs près du gardien entend les pompiers.,auditory,les,True,6.0
