,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GSLS,obj,no,no,yes,no,None,sing,sing,sing,coiffeur,médecin,suit,Le coiffeur que le médecin suit repart demain.,visual
1,1,GDLS,obj,no,no,no,yes,None,plur,sing,sing,gérants,marchand,entend,Les gérants que le marchand entend peignent toujours.,visual
2,2,GDLS,obj,no,no,no,yes,None,sing,plur,plur,danseur,gérants,attendent,Un danseur que les gérants attendent veut manger.,visual
3,3,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,boucher,vomit,défend,Le boucher loin du vomit défend un chanteur.,visual
4,4,GSLD,obj,no,yes,no,no,6,plur,sing,plur,marins,médecin,décrivent,Ces marins que le médecin décrivent partent demain.,visual
5,5,GSLS,pp,no,no,yes,no,None,sing,sing,sing,champion,coiffeur,émeut,Le champion proche du coiffeur émeut un marchand.,visual
6,6,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,clients,veulent,servent,Les clients loin des veulent servent ces libraires.,visual
7,7,GSLD,obj,no,yes,no,no,6,plur,sing,plur,coiffeurs,gérant,punissent,Les coiffeurs que ce gérant punissent peignent souvent.,visual
8,8,GDLS,obj,no,no,no,yes,None,plur,sing,sing,danseurs,notaire,punit,Les danseurs que ce notaire punit savent conduire.,visual
9,9,GSLD,pp,no,no,no,yes,None,sing,plur,sing,danseur,malades,plaint,Le danseur proche des malades plaint un notaire.,visual
10,10,GSLS,pp,no,no,yes,no,None,sing,sing,sing,coiffeur,patient,attend,Ce coiffeur auprès du patient attend le serveur.,visual
11,11,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,champion,gardien,entendent,Ce champion que ce gardien entendent sait cuisiner.,visual
12,12,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,champion,chanteur,servent,Un champion auprès du chanteur servent ce pompier.,visual
13,13,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,coiffeur,notaire,endorment,Le coiffeur auprès du notaire endorment un pompier.,visual
14,14,GDLS,pp,no,yes,no,no,6,plur,sing,sing,médecins,plombier,séduit,Les médecins proche du plombier séduit ces prêtres.,visual
15,15,GDLS,obj,no,no,no,yes,None,plur,sing,sing,facteurs,patient,attend,Les facteurs que ce patient attend écrivent parfois.,visual
16,16,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,juge,médecin,décrivent,Ce juge que ce médecin décrivent repart aussitôt.,visual
17,17,GSLS,pp,no,no,yes,no,None,plur,plur,plur,coiffeurs,malades,punissent,Les coiffeurs loin des malades punissent ces pompiers.,visual
