,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,danseur,reçoivent,Ce coiffeur que le danseur reçoivent doit manger.,auditory
1,trial_2,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,libraires,malades,craint,Proche des libraires les malades craint des peintres.,auditory
2,trial_3,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,marchand,décrivent,Ce boucher proche du marchand décrivent un médecin.,auditory
3,trial_4,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,marins,patient,punissent,Des marins auprès du patient punissent ces serveurs.,auditory
4,trial_5,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,dentistes,juges,sert,Les dentistes près des juges sert les médecins.,auditory
5,trial_6,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,chanteurs,facteur,entend,Les chanteurs que ce facteur entend répondent rarement.,auditory
6,trial_7,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,gardien,malades,plaignent,Ce gardien que ces malades plaignent veut manger.,auditory
7,trial_8,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,juge,notaires,émeuvent,Le juge que les notaires émeuvent repart dehors.,auditory
8,trial_9,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,gérant,marchand,suit,Ce gérant que ce marchand suit peint souvent.,auditory
9,trial_10,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,pompiers,élit,Des champions loin des pompiers élit les soldats.,auditory
10,trial_11,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,boucher,coiffeurs,hait,Le boucher que ces coiffeurs hait répond lentement.,auditory
11,trial_12,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chefs,comédiens,servent,Des chefs que les comédiens servent écrivent toujours.,auditory
12,trial_13,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,champion,coiffeur,craignent,Proche du champion le coiffeur craignent un peintre.,auditory
13,trial_14,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,gardien,libraires,décrivent,Un gardien proche des libraires décrivent ce médecin.,auditory
14,trial_15,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,champion,médecin,craint,Ce champion que ce médecin craint vomit parfois.,auditory
15,trial_16,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,comédien,matelots,plaint,Le comédien loin des matelots plaint ce plombier.,auditory
16,trial_17,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,client,marchand,décrit,Un client proche du marchand décrit le plombier.,auditory
17,trial_18,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,gardien,plombier,punit,Loin du gardien un plombier punit le serveur.,auditory
18,trial_19,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,gérants,juge,bénissent,Des gérants proche du juge bénissent des marins.,auditory
19,trial_20,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,coiffeur,gérants,endort,Le coiffeur que ces gérants endort vomit partout.,auditory
20,trial_21,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chef,gérant,craignent,Un chef proche du gérant craignent le matelot.,auditory
21,trial_22,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,bouchers,champion,suit,Les bouchers que ce champion suit partent lentement.,auditory
22,trial_23,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,facteurs,libraire,émeuvent,Les facteurs que le libraire émeuvent vomissent parfois.,auditory
23,trial_24,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,comédien,facteurs,haïssent,Un comédien auprès des facteurs haïssent un plombier.,auditory
24,trial_25,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,marin,défendent,Un coiffeur que le marin défendent peint toujours.,auditory
25,trial_26,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,gérants,malades,suivent,Des gérants loin des malades suivent les marins.,auditory
26,trial_27,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,chef,gérant,séduit,Ce chef loin du gérant séduit un marin.,auditory
27,trial_28,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,facteur,pompiers,décrit,Un facteur auprès des pompiers décrit ce soldat.,auditory
28,trial_29,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,clients,coiffeurs,élit,Les clients que ces coiffeurs élit peignent souvent.,auditory
