trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GS,sr_pp,no,yes,no,None,plur,plur,plur,chefs,peintres,élisent,Loin des chefs les peintres élisent ces serveurs.,auditory,reçoivent,False,5.0
trial_2,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,coiffeurs,marins,séduisent,Ces coiffeurs que les marins séduisent vomissent partout.,auditory,patients,False,5.5
trial_3,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,bouchers,chanteurs,bénit,Ces bouchers auprès des chanteurs bénit des coiffeurs.,auditory,des,True,6.0
trial_4,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,libraire,matelot,décrivent,Proche du libraire ce matelot décrivent le prêtre.,auditory,le,True,6.5
trial_5,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,chanteur,comédien,défendent,Un chanteur que ce comédien défendent sait conduire.,auditory,auprès,False,7.0
trial_6,GS,sr_pp,no,yes,no,None,sing,sing,sing,dentiste,juge,émeut,Proche du dentiste le juge émeut le serveur.,auditory,émeut,True,5.0
trial_7,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,danseur,juge,défendent,Ce danseur auprès du juge défendent un marin.,auditory,endorment,False,5.5
trial_8,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,comédien,matelot,reçoit,Un comédien que ce matelot reçoit répond aussitôt.,auditory,rarement,False,6.0
trial_9,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,gérant,malades,bénissent,Ce gérant que les malades bénissent répond aussitôt.,auditory,bénissent,True,6.5
trial_10,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,champions,libraire,élisent,Ces champions proche du libraire élisent ces matelots.,auditory,Ces,True,7.0
trial_11,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,danseur,plombiers,suivent,Ce danseur proche des plombiers suivent un vendeur.,auditory,danseur,True,5.0
trial_12,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,coiffeurs,peintres,plaint,Proche des coiffeurs ces peintres plaint ces plombiers.,auditory,bouchers,False,5.5
trial_13,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,juge,pompiers,bénit,Ce juge loin des pompiers bénit un serveur.,auditory,bénit,True,6.0
trial_14,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,danseurs,gardien,plaignent,Des danseurs que ce gardien plaignent repartent aussitôt.,auditory,le,False,6.5
trial_15,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,boucher,coiffeurs,élit,Le boucher que ces coiffeurs élit veut manger.,auditory,Le,True,7.0
trial_16,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,libraires,prêtre,sert,Les libraires que le prêtre sert veulent partir.,auditory,mentent,False,5.0
trial_17,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,marchand,serveur,reçoit,Ce marchand auprès du serveur reçoit un vendeur.,auditory,entend,False,5.5
trial_18,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,malades,marin,élit,Les malades auprès du marin élit des serveurs.,auditory,marin,True,6.0
trial_19,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,dentistes,facteurs,élisent,Les dentistes près des facteurs élisent des prêtres.,auditory,des,True,6.5
trial_20,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,chanteurs,comédiens,décrit,Des chanteurs que les comédiens décrit écrivent parfois.,auditory,écrivent,True,7.0
trial_21,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,gardien,médecin,craignent,Auprès du gardien ce médecin craignent le peintre.,visual,ce,True,5.0
trial_22,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,chanteur,dentistes,craint,Ce chanteur que ces dentistes craint vomit souvent.,visual,partout,False,5.5
trial_23,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,juge,patient,haïssent,Ce juge proche du patient haïssent le vendeur.,visual,le,True,6.0
trial_24,GS,sr_pp,no,yes,no,None,sing,sing,sing,client,comédien,attend,Auprès du client un comédien attend ce prêtre.,visual,Proche,False,6.5
trial_25,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,comédiens,gardiens,suit,Auprès des comédiens des gardiens suit des serveurs.,visual,suit,True,7.0
trial_26,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,chef,danseurs,entendent,Un chef auprès des danseurs entendent ce marin.,visual,Le,False,5.0
trial_27,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,chanteur,malade,bénit,Le chanteur près du malade bénit un peintre.,visual,Le,True,5.5
trial_28,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,danseurs,patient,défend,Des danseurs près du patient défend les serveurs.,visual,Ces,False,6.0
trial_29,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,chefs,marchand,servent,Les chefs que le marchand servent veulent dormir.,visual,que,True,6.5
trial_30,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,facteurs,gardiens,haïssent,Les facteurs que les gardiens haïssent peignent rarement.,visual,proche,False,7.0
trial_31,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,dentistes,patients,plaignent,Les dentistes proche des patients plaignent les serveurs.,visual,reçoivent,False,5.0
trial_32,GS,sr_pp,no,yes,no,None,plur,plur,plur,champions,clients,servent,Loin des champions des clients servent des peintres.,visual,patients,False,5.5
trial_33,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,coiffeur,comédien,attendent,Ce coiffeur que le comédien attendent répond lentement.,visual,répond,True,6.0
trial_34,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,gérants,juges,bénit,Les gérants que ces juges bénit écrivent souvent.,visual,ces,True,6.5
trial_35,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,gérant,libraires,suivent,Ce gérant que les libraires suivent écrit souvent.,visual,ces,False,7.0
trial_36,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,chef,coiffeur,sert,Un chef que le coiffeur sert répond rarement.,visual,vomit,False,5.0
trial_37,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,malades,patient,craint,Ces malades que le patient craint partent lentement.,visual,demain,False,5.5
trial_38,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,bouchers,peintre,bénissent,Des bouchers près du peintre bénissent les serveurs.,visual,serveurs,True,6.0
trial_39,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,chefs,juges,reçoit,Des chefs loin des juges reçoit ces libraires.,visual,juges,True,6.5
trial_40,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,coiffeur,juges,séduit,Ce coiffeur auprès des juges séduit ce serveur.,visual,séduit,True,7.0
