,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,comédien,gardien,endorment,Le comédien près du gardien endorment un matelot.,visual
1,1,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,facteurs,punit,Des bouchers loin des facteurs punit ces matelots.,visual
2,2,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,notaire,patients,attendent,Le notaire auprès des patients attendent un plombier.,visual
3,3,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,chanteurs,danseur,émeuvent,Ces chanteurs près du danseur émeuvent les vendeurs.,visual
4,4,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,client,danseur,décrit,Le client près du danseur décrit un pompier.,visual
5,5,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,gérants,défend,Près des bouchers les gérants défend les vendeurs.,visual
6,6,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,comédien,dentiste,attendent,Ce comédien que ce dentiste attendent doit payer.,visual
7,7,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,facteurs,gardiens,hait,Les facteurs auprès des gardiens hait les gérants.,visual
8,8,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,facteurs,peintres,servent,Ces facteurs que les peintres servent peignent parfois.,visual
9,9,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,champions,coiffeur,défend,Des champions que ce coiffeur défend savent cuisiner.,visual
10,10,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,gardiens,attend,Ces coiffeurs que les gardiens attend partent lentement.,visual
11,11,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,marchand,médecin,attend,Ce marchand près du médecin attend ce soldat.,visual
12,12,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,gérants,libraire,défendent,Des gérants près du libraire défendent des notaires.,visual
13,13,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,gérant,marins,reçoit,Ce gérant que les marins reçoit ment parfois.,visual
14,14,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,danseurs,libraire,bénissent,Ces danseurs que ce libraire bénissent peignent parfois.,visual
15,15,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,bouchers,chanteurs,élisent,Ces bouchers loin des chanteurs élisent ces dentistes.,visual
16,16,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,champions,coiffeur,craint,Ces champions près du coiffeur craint les gérants.,visual
17,17,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,libraire,malades,reçoit,Ce libraire que les malades reçoit repart demain.,visual
18,18,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,bouchers,gérant,reçoit,Des bouchers que le gérant reçoit savent cuisiner.,visual
19,19,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chef,gérant,reçoivent,Près du chef un gérant reçoivent ce notaire.,visual
20,20,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,clients,gardien,punit,Les clients près du gardien punit ces pompiers.,visual
21,21,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,danseurs,notaires,entend,Auprès des danseurs les notaires entend ces peintres.,visual
22,22,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,champion,dentistes,séduit,Ce champion près des dentistes séduit un peintre.,visual
23,23,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,boucher,chefs,craignent,Un boucher loin des chefs craignent ce matelot.,visual
24,24,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,danseurs,notaires,suivent,Auprès des danseurs les notaires suivent les soldats.,visual
25,25,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,marins,médecins,bénissent,Auprès des marins des médecins bénissent les plombiers.,visual
26,26,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,boucher,champions,reçoit,Ce boucher loin des champions reçoit ce plombier.,visual
27,27,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,danseur,facteur,élisent,Ce danseur près du facteur élisent ce matelot.,visual
28,28,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,client,coiffeur,défend,Le client que ce coiffeur défend répond lentement.,visual
29,29,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,facteur,malade,bénissent,Ce facteur que le malade bénissent écrit souvent.,visual
30,30,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,comédien,danseur,craint,Ce comédien que le danseur craint doit dormir.,visual
31,31,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chef,médecin,élisent,Loin du chef le médecin élisent ce plombier.,visual
32,32,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,malades,marchand,décrivent,Des malades que le marchand décrivent mentent rarement.,visual
33,33,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,malade,marin,plaint,Près du malade le marin plaint un notaire.,visual
34,34,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,marchand,notaires,endorment,Ce marchand que ces notaires endorment vomit encore.,visual
35,35,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,danseur,notaires,endorment,Un danseur que ces notaires endorment répond lentement.,visual
36,36,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,médecins,sert,Ces coiffeurs que les médecins sert écrivent souvent.,visual
37,37,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,clients,prêtres,plaignent,Ces clients que les prêtres plaignent savent conduire.,visual
