trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_1,GSLS,lr_obj,no,yes,no,,plur,plur,plur,bouchers,gérants,émeuvent,Ces bouchers que les gérants émeuvent savent cuisiner.,visual,émeuvent,True,5.0
trial_2,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,facteur,juge,reçoivent,Ce facteur que le juge reçoivent ment souvent.,visual,Ce,True,5.5
trial_3,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,facteur,juges,punissent,Un facteur auprès des juges punissent un matelot.,visual,défendent,False,6.0
trial_4,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,facteur,gérant,élisent,Proche du facteur le gérant élisent ce peintre.,visual,notaire,False,6.5
trial_5,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,chefs,bénit,Ces bouchers auprès des chefs bénit ces médecins.,visual,les,False,7.0
trial_6,GSLS,lr_pp,no,yes,no,,sing,sing,sing,malade,serveur,sert,Ce malade près du serveur sert un vendeur.,visual,sert,True,5.0
trial_7,GSLD,lr_pp,no,no,yes,,plur,sing,plur,juges,médecin,séduisent,Ces juges loin du médecin séduisent les notaires.,visual,Des,False,5.5
trial_8,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,notaires,élit,Proche des coiffeurs des notaires élit ces pompiers.,visual,des,True,6.0
trial_9,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,dentistes,facteurs,reçoit,Des dentistes que les facteurs reçoit partent lentement.,visual,partent,True,6.5
trial_10,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,dentiste,facteurs,craint,Un dentiste que ces facteurs craint doit manger.,visual,libraires,False,7.0
trial_11,GDLS,lr_obj,no,no,yes,,sing,plur,plur,danseur,peintres,suivent,Le danseur que ces peintres suivent répond aussitôt.,visual,peintres,True,5.0
trial_12,GS,sr_pp,no,yes,no,,sing,sing,sing,dentiste,malade,décrit,Près du dentiste le malade décrit un matelot.,visual,matelot,True,5.5
trial_13,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,comédiens,juge,endorment,Ces comédiens que ce juge endorment repartent déjà.,visual,aussitôt,False,6.0
trial_14,GSLS,lr_obj,no,yes,no,,sing,sing,sing,chef,dentiste,hait,Ce chef que le dentiste hait sait nager.,visual,Un,False,6.5
trial_15,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,champion,client,suivent,Ce champion auprès du client suivent le dentiste.,visual,du,True,7.0
trial_16,GSLS,lr_pp,no,yes,no,,plur,plur,plur,comédiens,malades,élisent,Ces comédiens proche des malades élisent les vendeurs.,visual,proche,True,5.0
trial_17,GDLS,lr_obj,no,no,yes,,plur,sing,sing,danseurs,gardien,bénit,Ces danseurs que le gardien bénit peignent toujours.,visual,Des,False,5.5
trial_18,GS,sr_pp,no,yes,no,,plur,plur,plur,bouchers,chefs,défendent,Loin des bouchers ces chefs défendent ces prêtres.,visual,Proche,False,6.0
trial_19,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chanteur,danseurs,décrit,Un chanteur loin des danseurs décrit ce gérant.,visual,le,False,6.5
trial_20,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,bouchers,gérant,attend,Des bouchers loin du gérant attend des libraires.,visual,des,True,7.0
