trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,marchand,marins,défend,Un marchand près des marins défend ce pompier.,auditory,Le,False,5.0
trial_2,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,médecins,plombier,servent,Ces médecins près du plombier servent ces vendeurs.,auditory,chanteurs,False,5.5
trial_3,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,gardiens,marin,séduit,Ces gardiens proche du marin séduit des vendeurs.,auditory,proche,True,6.0
trial_4,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,champion,matelot,décrivent,Ce champion que le matelot décrivent vomit encore.,auditory,que,True,6.5
trial_5,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,notaire,peintres,craignent,Le notaire que les peintres craignent ment rarement.,auditory,parfois,False,7.0
trial_6,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,gérants,malades,reçoivent,Les gérants auprès des malades reçoivent les matelots.,auditory,gérants,True,5.0
trial_7,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,dentistes,gérant,punissent,Les dentistes que le gérant punissent peignent toujours.,auditory,punissent,True,5.5
trial_8,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,coiffeur,matelot,entend,Ce coiffeur loin du matelot entend un notaire.,auditory,du,True,6.0
trial_9,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,comédiens,dentistes,suit,Les comédiens que les dentistes suit mentent souvent.,auditory,marchands,False,6.5
trial_10,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,coiffeur,gardiens,plaint,Le coiffeur que les gardiens plaint vomit parfois.,auditory,souvent,False,7.0
trial_11,GS,sr_pp,no,yes,no,None,sing,sing,sing,boucher,coiffeur,plaint,Proche du boucher ce coiffeur plaint ce marchand.,auditory,bénit,False,5.0
trial_12,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,clients,libraires,hait,Auprès des clients ces libraires hait des marchands.,auditory,marins,False,5.5
trial_13,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,gérant,matelot,servent,Auprès du gérant un matelot servent ce serveur.,auditory,Proche,False,6.0
trial_14,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,boucher,chanteur,séduisent,Ce boucher près du chanteur séduisent ce matelot.,auditory,ce,True,6.5
trial_15,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,notaires,peintres,reçoit,Des notaires près des peintres reçoit les soldats.,auditory,notaires,True,7.0
trial_16,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,comédien,facteur,défend,Ce comédien que le facteur défend ment rarement.,auditory,notaire,False,5.0
trial_17,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,libraires,malade,hait,Ces libraires que ce malade hait écrivent toujours.,auditory,libraires,True,5.5
trial_18,GS,sr_pp,no,yes,no,None,plur,plur,plur,marchands,matelots,bénissent,Loin des marchands des matelots bénissent les peintres.,auditory,ces,False,6.0
trial_19,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,chefs,comédiens,endorment,Ces chefs que les comédiens endorment partent demain.,auditory,Ces,True,6.5
trial_20,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,client,dentistes,bénissent,Ce client loin des dentistes bénissent ce facteur.,auditory,proche,False,7.0
trial_21,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,boucher,chanteurs,endort,Le boucher près des chanteurs endort le notaire.,visual,près,True,5.0
trial_22,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,bouchers,chef,suivent,Les bouchers loin du chef suivent des vendeurs.,visual,champion,False,5.5
trial_23,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,gardiens,médecins,craint,Les gardiens que les médecins craint peignent rarement.,visual,peignent,True,6.0
trial_24,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,champions,comédien,défend,Ces champions que le comédien défend veulent manger.,visual,manger,True,6.5
trial_25,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,chanteurs,médecins,servent,Ces chanteurs auprès des médecins servent des notaires.,visual,des,True,7.0
trial_26,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,champion,dentistes,séduisent,Ce champion que ces dentistes séduisent part lentement.,visual,reçoivent,False,5.0
trial_27,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,marins,peintre,craint,Des marins près du peintre craint des plombiers.,visual,gérant,False,5.5
trial_28,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,boucher,marin,craignent,Ce boucher loin du marin craignent le médecin.,visual,servent,False,6.0
trial_29,GS,sr_pp,no,yes,no,None,plur,plur,plur,champions,facteurs,décrivent,Près des champions des facteurs décrivent les gardiens.,visual,gardiens,True,6.5
trial_30,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,bouchers,médecins,craint,Des bouchers auprès des médecins craint des soldats.,visual,auprès,True,7.0
trial_31,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,danseur,dentistes,élit,Un danseur que les dentistes élit peint parfois.,visual,médecins,False,5.0
trial_32,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,danseur,libraire,élisent,Près du danseur le libraire élisent le marchand.,visual,ce,False,5.5
trial_33,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,champion,marchands,punissent,Le champion loin des marchands punissent ce plombier.,visual,ce,True,6.0
trial_34,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,chanteur,comédien,plaint,Un chanteur loin du comédien plaint un matelot.,visual,boucher,False,6.5
trial_35,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,chef,patient,séduit,Un chef que le patient séduit sait cuisiner.,visual,client,False,7.0
trial_36,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,chanteurs,gardien,suivent,Les chanteurs que le gardien suivent doivent manger.,visual,gardien,True,5.0
trial_37,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,marin,patient,séduisent,Ce marin que le patient séduisent repart aussitôt.,visual,marin,True,5.5
trial_38,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,notaires,patients,bénit,Près des notaires des patients bénit des plombiers.,visual,patients,True,6.0
trial_39,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,gardiens,peintres,haïssent,Des gardiens que les peintres haïssent partent demain.,visual,partent,True,6.5
trial_40,GS,sr_pp,no,yes,no,None,sing,sing,sing,dentiste,médecin,hait,Loin du dentiste ce médecin hait le serveur.,visual,malade,False,7.0
