,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,clients,danseurs,bénissent,Proche des clients ces danseurs bénissent les notaires.,auditory
1,trial_2,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,champions,marins,plaint,Les champions que ces marins plaint partent lentement.,auditory
2,trial_3,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,dentistes,marin,servent,Des dentistes loin du marin servent des prêtres.,auditory
3,trial_4,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,serveur,punissent,Proche du chanteur ce serveur punissent le vendeur.,auditory
4,trial_5,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,dentiste,gardiens,bénit,Ce dentiste près des gardiens bénit ce libraire.,auditory
5,trial_6,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,champion,malade,bénit,Ce champion que ce malade bénit repart aussitôt.,auditory
6,trial_7,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,patient,prêtres,élisent,Un patient que ces prêtres élisent répond aussitôt.,auditory
7,trial_8,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,dentiste,émeuvent,Ce coiffeur auprès du dentiste émeuvent le malade.,auditory
8,trial_9,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,danseurs,gérants,craignent,Ces danseurs auprès des gérants craignent ces médecins.,auditory
9,trial_10,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,boucher,champion,séduit,Ce boucher que le champion séduit doit partir.,auditory
10,trial_11,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,chanteur,gérants,craignent,Un chanteur que ces gérants craignent vomit parfois.,auditory
11,trial_12,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,boucher,matelots,bénissent,Le boucher près des matelots bénissent le patient.,auditory
12,trial_13,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chanteurs,notaires,endorment,Les chanteurs que les notaires endorment écrivent souvent.,auditory
13,trial_14,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,chanteur,chefs,émeut,Le chanteur que les chefs émeut veut partir.,auditory
14,trial_15,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chanteurs,chefs,attendent,Des chanteurs que les chefs attendent peignent parfois.,auditory
15,trial_16,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,gardiens,malade,hait,Ces gardiens loin du malade hait ces pompiers.,auditory
