,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,chanteur,pompiers,séduisent,Ce chanteur que les pompiers séduisent répond aussitôt.,auditory
1,trial_2,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,clients,dentistes,punissent,Proche des clients des dentistes punissent des patients.,auditory
2,trial_3,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,gérants,marchands,élisent,Les gérants proche des marchands élisent des notaires.,auditory
3,trial_4,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,facteurs,élit,Des bouchers près des facteurs élit ces patients.,auditory
4,trial_5,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,gérants,malade,attend,Les gérants près du malade attend les soldats.,auditory
5,trial_6,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,facteur,marin,séduit,Loin du facteur un marin séduit un serveur.,auditory
6,trial_7,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,chef,comédiens,décrit,Un chef que ces comédiens décrit peint toujours.,auditory
7,trial_8,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,peintre,décrivent,Le chanteur que le peintre décrivent écrit parfois.,auditory
8,trial_9,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,libraire,malade,élisent,Ce libraire loin du malade élisent un marin.,auditory
9,trial_10,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chanteurs,gardien,défendent,Les chanteurs que le gardien défendent répondent aussitôt.,auditory
10,trial_11,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,gardien,marin,décrit,Le gardien auprès du marin décrit un médecin.,auditory
11,trial_12,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,danseur,matelot,punissent,Le danseur loin du matelot punissent un notaire.,auditory
12,trial_13,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,danseur,juges,émeuvent,Le danseur que les juges émeuvent doit dormir.,auditory
13,trial_14,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,bouchers,chef,punissent,Les bouchers près du chef punissent des peintres.,auditory
14,trial_15,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,bouchers,prêtre,défendent,Ces bouchers près du prêtre défendent des vendeurs.,auditory
15,trial_16,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,gérants,juge,hait,Ces gérants que le juge hait doivent dormir.,auditory
16,trial_17,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,comédiens,danseur,séduisent,Des comédiens que le danseur séduisent repartent demain.,auditory
17,trial_18,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,coiffeurs,gérant,endort,Les coiffeurs près du gérant endort les peintres.,auditory
18,trial_19,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,champions,danseurs,décrit,Les champions que les danseurs décrit mentent rarement.,auditory
19,trial_20,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,bouchers,plombiers,servent,Auprès des bouchers ces plombiers servent les prêtres.,auditory
20,trial_21,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,gérants,défend,Proche des champions des gérants défend des matelots.,auditory
21,trial_22,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,chanteur,gardien,émeut,Un chanteur près du gardien émeut le notaire.,auditory
22,trial_23,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,chef,malade,élit,Auprès du chef ce malade élit un pompier.,auditory
23,trial_24,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,danseur,juges,hait,Le danseur près des juges hait un médecin.,auditory
24,trial_25,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,chanteur,malades,attend,Le chanteur loin des malades attend un matelot.,auditory
25,trial_26,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,plombiers,serveurs,défendent,Les plombiers que ces serveurs défendent écrivent parfois.,auditory
26,trial_27,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,dentiste,gérants,défendent,Un dentiste loin des gérants défendent ce serveur.,auditory
27,trial_28,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,juge,marin,attendent,Proche du juge un marin attendent le notaire.,auditory
28,trial_29,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,malade,plaignent,Auprès du boucher un malade plaignent le soldat.,auditory
29,trial_30,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,champion,coiffeur,endort,Ce champion que ce coiffeur endort répond rarement.,auditory
30,trial_31,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,notaire,plaignent,Le coiffeur que ce notaire plaignent doit partir.,auditory
31,trial_32,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,chanteur,dentistes,attendent,Ce chanteur proche des dentistes attendent le marchand.,auditory
32,trial_33,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,comédiens,malades,émeuvent,Des comédiens loin des malades émeuvent les notaires.,auditory
33,trial_34,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,médecin,peintre,élit,Ce médecin que le peintre élit veut dormir.,auditory
34,trial_35,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chanteurs,gardiens,attendent,Des chanteurs que les gardiens attendent répondent lentement.,auditory
35,trial_36,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,juges,patients,suit,Loin des juges des patients suit des prêtres.,auditory
