trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,facteur,craignent,Près du chanteur un facteur craignent ce médecin.,visual,craignent,True,5.0
trial_2,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,client,coiffeur,suivent,Un client loin du coiffeur suivent le peintre.,visual,du,True,5.5
trial_3,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,notaire,serveurs,décrit,Ce notaire que ces serveurs décrit repart aussitôt.,visual,auprès,False,6.0
trial_4,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,gardiens,gérant,reçoit,Ces gardiens loin du gérant reçoit les serveurs.,visual,les,True,6.5
trial_5,GS,sr_pp,no,yes,no,,sing,sing,sing,chef,marin,défend,Loin du chef ce marin défend un soldat.,visual,pompier,False,7.0
trial_6,GDLS,lr_obj,no,no,yes,,sing,plur,plur,gérant,libraires,séduisent,Le gérant que ces libraires séduisent écrit parfois.,visual,ces,True,5.0
trial_7,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,facteur,marin,attendent,Le facteur que ce marin attendent répond aussitôt.,visual,ce,True,5.5
trial_8,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,comédien,notaires,décrivent,Ce comédien proche des notaires décrivent ce plombier.,visual,décrivent,True,6.0
trial_9,GSLD,lr_pp,no,no,yes,,sing,plur,sing,champion,soldats,sert,Ce champion proche des soldats sert un vendeur.,visual,un,True,6.5
trial_10,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,gérants,malades,défend,Ces gérants près des malades défend les soldats.,visual,Ces,True,7.0
trial_11,GSLS,lr_pp,no,yes,no,,plur,plur,plur,clients,marchands,craignent,Ces clients loin des marchands craignent les médecins.,visual,craignent,True,5.0
trial_12,GS,sr_pp,no,yes,no,,plur,plur,plur,coiffeurs,notaires,séduisent,Auprès des coiffeurs ces notaires séduisent des prêtres.,visual,danseurs,False,5.5
trial_13,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,gardiens,libraires,séduit,Loin des gardiens des libraires séduit des médecins.,visual,gérants,False,6.0
trial_14,GSLS,lr_obj,no,yes,no,,plur,plur,plur,chanteurs,matelots,séduisent,Les chanteurs que les matelots séduisent répondent lentement.,visual,que,True,6.5
trial_15,GDLS,lr_obj,no,no,yes,,plur,sing,sing,chanteurs,danseur,endort,Des chanteurs que le danseur endort savent nager.,visual,bouchers,False,7.0
trial_16,GSLS,lr_pp,no,yes,no,,sing,sing,sing,chef,client,décrit,Le chef auprès du client décrit ce peintre.,visual,chanteur,False,5.0
trial_17,GSLS,lr_obj,no,yes,no,,sing,sing,sing,boucher,client,punit,Le boucher que ce client punit peint souvent.,visual,toujours,False,5.5
trial_18,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,champions,clients,reçoit,Les champions que ces clients reçoit partent lentement.,visual,demain,False,6.0
trial_19,GSLD,lr_pp,no,no,yes,,plur,sing,plur,dentistes,prêtre,émeuvent,Ces dentistes loin du prêtre émeuvent ces soldats.,visual,juges,False,6.5
trial_20,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,clients,comédien,plaignent,Des clients que le comédien plaignent vomissent encore.,visual,vomissent,True,7.0
trial_21,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,gérants,marins,sert,Ces gérants près des marins sert les vendeurs.,auditory,gérants,True,5.0
trial_22,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,juges,marin,punissent,Les juges que le marin punissent vomissent parfois.,auditory,punissent,True,5.5
trial_23,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,malade,reçoivent,Le chanteur loin du malade reçoivent un marchand.,auditory,marchand,True,6.0
trial_24,GDLS,lr_obj,no,no,yes,,sing,plur,plur,dentiste,marins,bénissent,Le dentiste que les marins bénissent repart aussitôt.,auditory,les,True,6.5
trial_25,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,coiffeur,gardien,craignent,Auprès du coiffeur ce gardien craignent un médecin.,auditory,le,False,7.0
trial_26,GS,sr_pp,no,yes,no,,plur,plur,plur,marins,plombiers,plaignent,Proche des marins des plombiers plaignent des serveurs.,auditory,Loin,False,5.0
trial_27,GSLS,lr_obj,no,yes,no,,sing,sing,sing,client,marin,bénit,Un client que le marin bénit sait cuisiner.,auditory,repart,False,5.5
trial_28,GS,sr_pp,no,yes,no,,sing,sing,sing,facteur,notaire,défend,Loin du facteur ce notaire défend un plombier.,auditory,le,False,6.0
trial_29,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,chanteur,peintres,entendent,Ce chanteur près des peintres entendent un prêtre.,auditory,chanteur,True,6.5
trial_30,GSLS,lr_obj,no,yes,no,,plur,plur,plur,gérants,libraires,punissent,Des gérants que les libraires punissent savent cuisiner.,auditory,ces,False,7.0
trial_31,GSLD,lr_pp,no,no,yes,,sing,plur,sing,champion,marins,punit,Un champion près des marins punit un notaire.,auditory,près,True,5.0
trial_32,GSLS,lr_pp,no,yes,no,,plur,plur,plur,comédiens,marins,suivent,Ces comédiens proche des marins suivent ces pompiers.,auditory,suivent,True,5.5
trial_33,GSLD,lr_pp,no,no,yes,,plur,sing,plur,bouchers,chanteur,servent,Ces bouchers proche du chanteur servent les danseurs.,auditory,coiffeurs,False,6.0
trial_34,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,juge,marchand,suivent,Un juge que le marchand suivent répond aussitôt.,auditory,aussitôt,True,6.5
trial_35,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,malades,sert,Des chanteurs que les malades sert répondent lentement.,auditory,aussitôt,False,7.0
trial_36,GDLS,lr_obj,no,no,yes,,plur,sing,sing,champions,danseur,reçoit,Ces champions que ce danseur reçoit écrivent toujours.,auditory,écrivent,True,5.0
trial_37,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,facteurs,juge,décrit,Des facteurs proche du juge décrit ces libraires.,auditory,chanteurs,False,5.5
trial_38,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,champion,marchands,hait,Un champion que les marchands hait doit manger.,auditory,répond,False,6.0
trial_39,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,dentistes,libraires,défend,Loin des dentistes les libraires défend ces malades.,auditory,endort,False,6.5
trial_40,GSLS,lr_pp,no,yes,no,,sing,sing,sing,dentiste,matelot,décrit,Le dentiste loin du matelot décrit ce notaire.,auditory,du,True,7.0
