cond,hasStar,rest,stim
wordEF,0,6000,05 18 10 06 15 20 02 03 16 17 08 13 11 14 19 09 12 04 01 07
wordC,0,6000,10 15 01 13 17 02 04 07 06 09 14 12 20 11 08 03 16 05 18 19
face,1,6000,19 17 02 15 05 08 14 01 00 06 11 16 20 12 10 09 04 07 03 18
wordEF,1,6000,04 17 20 15 10 09 08 13 02 12 00 03 16 18 14 07 06 05 11 01
wordC,0,6000,03 08 02 13 10 05 09 18 01 14 11 19 15 06 07 12 20 16 17 04
Mu,1,6000,06 05 12 18 08 04 00 15 14 02 10 19 07 13 17 01 03 09 11 20
Mu,0,6000,08 05 15 02 11 06 13 19 16 01 10 04 14 03 20 17 18 12 09 07
wordEF,1,6000,15 07 01 10 08 18 12 19 14 06 02 11 13 03 00 04 20 05 16 17
face,1,6000,01 08 19 18 17 00 14 13 07 05 15 02 06 10 09 11 03 04 20 16
wordEF,0,6000,12 07 16 05 13 04 14 17 02 03 20 01 08 18 15 09 06 11 10 19
emoji,1,6000,02 18 19 15 12 08 03 11 10 01 00 07 05 13 09 04 17 16 20 06
Mu,0,6000,05 20 11 10 08 16 04 06 18 09 01 13 14 17 03 02 19 07 12 15
emoji,0,6000,09 10 02 13 12 16 03 15 08 01 05 20 04 17 18 11 07 14 06 19
face,0,6000,12 19 02 18 13 05 09 08 03 11 20 01 15 10 06 07 16 04 17 14
emoji,0,6000,01 13 08 11 19 02 03 16 20 04 15 12 10 06 05 07 17 14 18 09
wordEF,0,6000,19 03 13 04 09 08 07 18 05 10 11 06 01 15 17 14 02 20 12 16
wordEF,0,6000,02 11 12 07 06 19 03 15 17 08 16 05 18 20 13 01 09 10 14 04
wordC,0,6000,05 07 15 04 20 02 01 14 13 06 18 10 09 03 19 08 11 17 16 12
