,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,client,médecin,entend,Un client que ce médecin entend écrit souvent.,visual
1,1,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,malade,patient,attend,Un malade auprès du patient attend ce soldat.,visual
2,2,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,comédiens,médecin,sert,Ces comédiens que ce médecin sert peignent toujours.,visual
3,3,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,malades,médecins,plaint,Des malades que ces médecins plaint savent nager.,visual
4,4,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,marchand,peintre,reçoit,Ce marchand que le peintre reçoit doit dormir.,visual
5,5,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,coiffeurs,médecins,décrivent,Ces coiffeurs loin des médecins décrivent ces notaires.,visual
6,6,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,comédien,dentiste,séduit,Un comédien loin du dentiste séduit le malade.,visual
7,7,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,marchands,élit,Des coiffeurs proche des marchands élit des médecins.,visual
8,8,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,chef,facteur,élisent,Ce chef que le facteur élisent sait cuisiner.,visual
9,9,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chanteurs,dentistes,endorment,Des chanteurs que ces dentistes endorment peignent souvent.,visual
10,10,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,champion,chanteur,élisent,Auprès du champion un chanteur élisent ce plombier.,visual
11,11,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,notaire,patient,séduisent,Auprès du notaire ce patient séduisent le vendeur.,visual
12,12,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,clients,facteur,entendent,Les clients que ce facteur entendent savent danser.,visual
13,13,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,champions,comédien,servent,Les champions auprès du comédien servent ces plombiers.,visual
14,14,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,facteurs,gardien,défend,Les facteurs près du gardien défend des malades.,visual
15,15,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chef,marchand,punissent,Le chef loin du marchand punissent ce soldat.,visual
