,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,bouchers,matelot,décrivent,Ces bouchers proche du matelot décrivent ces plombiers.,auditory
1,trial_2,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,clients,entend,Ces champions proche des clients entend ces coiffeurs.,auditory
2,trial_3,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,clients,patients,endort,Les clients que les patients endort repartent aussitôt.,auditory
3,trial_4,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,patient,peintres,punissent,Le patient auprès des peintres punissent un serveur.,auditory
4,trial_5,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,client,dentiste,sert,Le client auprès du dentiste sert le médecin.,auditory
5,trial_6,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,chef,plombier,entend,Auprès du chef ce plombier entend le soldat.,auditory
6,trial_7,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,clients,marchands,reçoivent,Ces clients auprès des marchands reçoivent les matelots.,auditory
7,trial_8,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,gérants,peintres,servent,Proche des gérants ces peintres servent ces vendeurs.,auditory
8,trial_9,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,libraire,craignent,Un coiffeur auprès du libraire craignent le pompier.,auditory
9,trial_10,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,gérant,marin,sert,Un gérant que le marin sert veut manger.,auditory
10,trial_11,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,chefs,gardiens,craignent,Ces chefs près des gardiens craignent des juges.,auditory
11,trial_12,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,danseur,libraires,séduisent,Un danseur que ces libraires séduisent écrit rarement.,auditory
12,trial_13,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,médecin,patient,bénit,Ce médecin que ce patient bénit vomit parfois.,auditory
13,trial_14,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,comédiens,médecins,séduisent,Des comédiens que ces médecins séduisent repartent déjà.,auditory
14,trial_15,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,coiffeur,gardiens,endort,Ce coiffeur que les gardiens endort doit payer.,auditory
15,trial_16,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,juges,notaire,haïssent,Des juges près du notaire haïssent des plombiers.,auditory
16,trial_17,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,bouchers,gérant,suit,Des bouchers auprès du gérant suit ces patients.,auditory
17,trial_18,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,facteur,notaire,séduit,Proche du facteur ce notaire séduit ce peintre.,auditory
18,trial_19,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,bouchers,comédien,endort,Les bouchers proche du comédien endort ces serveurs.,auditory
19,trial_20,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,chefs,gardiens,craint,Les chefs que ces gardiens craint savent danser.,auditory
20,trial_21,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,comédiens,malades,élisent,Ces comédiens que ces malades élisent vomissent parfois.,auditory
21,trial_22,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,dentistes,pompiers,hait,Auprès des dentistes les pompiers hait des serveurs.,auditory
22,trial_23,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,comédien,servent,Ce boucher auprès du comédien servent le dentiste.,auditory
23,trial_24,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,gardien,peintre,suivent,Le gardien que ce peintre suivent écrit parfois.,auditory
24,trial_25,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,malade,matelots,bénissent,Un malade que les matelots bénissent part demain.,auditory
25,trial_26,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,gardien,plaignent,Ce coiffeur que le gardien plaignent écrit parfois.,auditory
26,trial_27,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,dentiste,gérants,entend,Ce dentiste que les gérants entend vomit souvent.,auditory
27,trial_28,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,comédien,craignent,Loin du chanteur le comédien craignent le danseur.,auditory
28,trial_29,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,chefs,gérant,endort,Des chefs que le gérant endort veulent dormir.,auditory
29,trial_30,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,dentiste,malade,défend,Le dentiste proche du malade défend un matelot.,auditory
30,trial_31,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,comédiens,gardien,endorment,Ces comédiens que ce gardien endorment doivent payer.,auditory
31,trial_32,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,chanteur,dentistes,suit,Un chanteur proche des dentistes suit ce vendeur.,auditory
32,trial_33,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,pompiers,prêtres,reçoit,Des pompiers loin des prêtres reçoit des soldats.,auditory
33,trial_34,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,dentiste,juge,émeuvent,Près du dentiste un juge émeuvent le serveur.,auditory
34,trial_35,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,coiffeurs,dentistes,attendent,Auprès des coiffeurs ces dentistes attendent des soldats.,auditory
35,trial_36,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,danseur,juges,attend,Un danseur près des juges attend un libraire.,auditory
36,trial_37,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,client,malades,entendent,Le client auprès des malades entendent un prêtre.,auditory
37,trial_38,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,chanteurs,marchands,hait,Loin des chanteurs les marchands hait ces matelots.,auditory
38,trial_39,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,facteurs,soldat,élit,Des facteurs que le soldat élit partent lentement.,auditory
39,trial_40,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,facteurs,juge,élisent,Les facteurs que ce juge élisent savent cuisiner.,auditory
