trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe
trial_1,GSLD,lr_pp,no,no,yes,,sing,plur,sing,juge,patients,émeut,Un juge auprès des patients émeut le vendeur.,auditory,plombiers,False
trial_2,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,plombiers,pompiers,décrit,Des plombiers que ces pompiers décrit repartent aussitôt.,auditory,pompiers,True
trial_3,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,facteur,malade,émeuvent,Le facteur que le malade émeuvent part demain.,auditory,Ce,False
trial_4,GSLS,lr_obj,no,yes,no,,sing,sing,sing,client,matelot,émeut,Le client que le matelot émeut sait nager.,auditory,ce,False
trial_5,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,coiffeur,matelots,hait,Le coiffeur que les matelots hait sait conduire.,auditory,proche,False
trial_6,GSLS,lr_pp,no,yes,no,,sing,sing,sing,chef,coiffeur,décrit,Un chef près du coiffeur décrit le malade.,auditory,près,True
trial_7,GSLS,lr_pp,no,yes,no,,plur,plur,plur,bouchers,marins,défendent,Les bouchers proche des marins défendent des pompiers.,auditory,Les,True
trial_8,GS,sr_pp,no,yes,no,,plur,plur,plur,bouchers,chefs,attendent,Près des bouchers des chefs attendent les notaires.,auditory,ces,False
trial_9,GSLS,lr_obj,no,yes,no,,plur,plur,plur,bouchers,marins,séduisent,Les bouchers que ces marins séduisent répondent aussitôt.,auditory,marins,True
trial_10,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,coiffeur,patients,endorment,Le coiffeur près des patients endorment ce plombier.,auditory,ce,True
trial_11,GDLS,lr_obj,no,no,yes,,sing,plur,plur,gérant,notaires,élisent,Ce gérant que les notaires élisent repart dehors.,auditory,émeuvent,False
trial_12,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,dentistes,prêtre,plaint,Ces dentistes auprès du prêtre plaint ces serveurs.,auditory,du,True
trial_13,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,marchand,notaire,plaignent,Près du marchand un notaire plaignent un serveur.,auditory,ce,False
trial_14,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,matelot,patient,attendent,Ce matelot auprès du patient attendent un plombier.,auditory,marin,False
trial_15,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,libraires,suit,Loin des bouchers des libraires suit les notaires.,auditory,bouchers,True
trial_16,GDLS,lr_obj,no,no,yes,,plur,sing,sing,juges,marin,décrit,Les juges que ce marin décrit veulent dormir.,auditory,Les,True
trial_17,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,chefs,émeut,Les bouchers auprès des chefs émeut les dentistes.,auditory,ces,False
trial_18,GSLD,lr_pp,no,no,yes,,plur,sing,plur,bouchers,gardien,entendent,Des bouchers proche du gardien entendent des pompiers.,auditory,le,False
trial_19,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,dentistes,marin,entendent,Des dentistes que le marin entendent vomissent partout.,auditory,partout,True
trial_20,GS,sr_pp,no,yes,no,,sing,sing,sing,malade,prêtre,plaint,Loin du malade le prêtre plaint ce vendeur.,auditory,un,False
trial_21,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,comédiens,élit,Loin des bouchers les comédiens élit les juges.,visual,notaires,False
trial_22,GDLS,lr_obj,no,no,yes,,sing,plur,plur,comédien,marins,endorment,Un comédien que les marins endorment peint parfois.,visual,peint,True
trial_23,GDLS,lr_obj,no,no,yes,,plur,sing,sing,chanteurs,comédien,bénit,Des chanteurs que ce comédien bénit répondent lentement.,visual,partent,False
trial_24,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,coiffeurs,danseur,décrit,Les coiffeurs loin du danseur décrit les gérants.,visual,client,False
trial_25,GSLS,lr_pp,no,yes,no,,plur,plur,plur,chefs,clients,bénissent,Ces chefs proche des clients bénissent ces prêtres.,visual,Les,False
trial_26,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,champion,facteur,servent,Un champion que ce facteur servent peint parfois.,visual,libraire,False
trial_27,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,chefs,attendent,Des champions que ces chefs attendent repartent aussitôt.,visual,Des,True
trial_28,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,patients,reçoit,Ces chanteurs que les patients reçoit partent demain.,visual,que,True
trial_29,GSLD,lr_pp,no,no,yes,,plur,sing,plur,libraires,notaire,élisent,Ces libraires auprès du notaire élisent des vendeurs.,visual,notaire,True
trial_30,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,matelot,entendent,Loin du chanteur le matelot entendent un plombier.,visual,chanteur,True
trial_31,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,gérant,malades,défendent,Un gérant proche des malades défendent le patient.,visual,gérant,True
trial_32,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,coiffeur,peintre,reçoivent,Un coiffeur auprès du peintre reçoivent un vendeur.,visual,reçoivent,True
trial_33,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,malades,peintre,émeuvent,Des malades que le peintre émeuvent répondent lentement.,visual,répondent,True
trial_34,GSLS,lr_obj,no,yes,no,,sing,sing,sing,juge,libraire,séduit,Le juge que ce libraire séduit doit manger.,visual,doit,True
trial_35,GSLD,lr_pp,no,no,yes,,sing,plur,sing,champion,gardiens,bénit,Un champion proche des gardiens bénit ce malade.,visual,marchands,False
trial_36,GS,sr_pp,no,yes,no,,plur,plur,plur,chanteurs,facteurs,endorment,Auprès des chanteurs les facteurs endorment ces malades.,visual,les,True
trial_37,GS,sr_pp,no,yes,no,,sing,sing,sing,danseur,patient,punit,Proche du danseur le patient punit un peintre.,visual,ce,False
trial_38,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,danseur,notaires,hait,Le danseur que les notaires hait ment parfois.,visual,parfois,True
trial_39,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,facteurs,juges,séduit,Des facteurs près des juges séduit les médecins.,visual,Ces,False
trial_40,GSLS,lr_pp,no,yes,no,,sing,sing,sing,champion,coiffeur,décrit,Ce champion auprès du coiffeur décrit le gardien.,visual,Un,False
