trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,gardien,gérant,attendent,Un gardien que le gérant attendent vomit souvent.,visual,Ce,False,5.0
trial_2,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,chefs,marins,défendent,Les chefs que les marins défendent mentent souvent.,visual,que,True,5.5
trial_3,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,chanteurs,comédiens,hait,Les chanteurs près des comédiens hait ces plombiers.,visual,hait,True,6.0
trial_4,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,libraire,pompier,séduisent,Ce libraire loin du pompier séduisent un serveur.,visual,libraire,True,6.5
trial_5,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,chefs,danseurs,endort,Loin des chefs les danseurs endort des libraires.,visual,marins,False,7.0
trial_6,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,danseur,marin,séduit,Ce danseur que le marin séduit repart demain.,visual,repart,True,5.0
trial_7,GS,sr_pp,no,yes,no,None,sing,sing,sing,chanteur,patient,reçoit,Près du chanteur un patient reçoit ce peintre.,visual,ce,True,5.5
trial_8,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,dentiste,marin,suivent,Proche du dentiste le marin suivent ce soldat.,visual,comédien,False,6.0
trial_9,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,champions,chef,défendent,Les champions auprès du chef défendent ces juges.,visual,pompiers,False,6.5
trial_10,GS,sr_pp,no,yes,no,None,plur,plur,plur,chefs,facteurs,élisent,Près des chefs ces facteurs élisent ces libraires.,visual,ces,True,7.0
trial_11,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,facteurs,gérants,haïssent,Ces facteurs auprès des gérants haïssent les soldats.,visual,pompiers,False,5.0
trial_12,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,client,pompiers,attend,Un client que les pompiers attend sait nager.,visual,vomit,False,5.5
trial_13,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,marins,plombier,défend,Des marins loin du plombier défend les pompiers.,visual,Ces,False,6.0
trial_14,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,chefs,gérant,élisent,Ces chefs que ce gérant élisent vomissent souvent.,visual,loin,False,6.5
trial_15,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,dentiste,marchands,attendent,Un dentiste auprès des marchands attendent un plombier.,visual,marchands,True,7.0
trial_16,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,client,danseurs,hait,Le client proche des danseurs hait le pompier.,visual,dentiste,False,5.0
trial_17,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,client,gardiens,attendent,Un client que les gardiens attendent écrit souvent.,visual,écrit,True,5.5
trial_18,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,champions,client,sert,Des champions que le client sert mentent souvent.,visual,défend,False,6.0
trial_19,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,gardiens,juges,suit,Des gardiens que les juges suit savent cuisiner.,visual,gardiens,True,6.5
trial_20,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,boucher,matelot,attend,Un boucher loin du matelot attend le vendeur.,visual,boucher,True,7.0
trial_21,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,juge,malades,craignent,Ce juge près des malades craignent le vendeur.,auditory,malades,True,5.0
trial_22,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,champion,clients,émeuvent,Le champion que les clients émeuvent veut dormir.,auditory,Un,False,5.5
trial_23,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,gérants,malades,craignent,Des gérants que les malades craignent savent cuisiner.,auditory,ces,False,6.0
trial_24,GS,sr_pp,no,yes,no,None,sing,sing,sing,boucher,chanteur,reçoit,Loin du boucher un chanteur reçoit ce gardien.,auditory,décrit,False,6.5
