trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GDLS,lr_obj,no,no,yes,,sing,plur,plur,client,gardiens,servent,Ce client que ces gardiens servent ment rarement.,visual,rarement,True,5.0
trial_2,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,matelot,notaires,craignent,Un matelot auprès des notaires craignent le plombier.,visual,plombier,True,5.5
trial_3,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,matelots,émeut,Des chanteurs que ces matelots émeut doivent manger.,visual,Les,False,6.0
trial_4,GDLS,lr_obj,no,no,yes,,plur,sing,sing,dentistes,libraire,suit,Les dentistes que le libraire suit vomissent souvent.,visual,souvent,True,6.5
trial_5,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,danseurs,gardien,plaint,Des danseurs loin du gardien plaint les gérants.,visual,les,True,7.0
trial_6,GSLS,lr_pp,no,yes,no,,plur,plur,plur,bouchers,malades,endorment,Les bouchers proche des malades endorment ces serveurs.,visual,Les,True,5.0
trial_7,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,chanteurs,facteurs,craint,Ces chanteurs auprès des facteurs craint les gardiens.,visual,sert,False,5.5
trial_8,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,matelot,serveur,décrivent,Ce matelot proche du serveur décrivent un vendeur.,visual,Le,False,6.0
trial_9,GSLD,lr_pp,no,no,yes,,plur,sing,plur,facteurs,gardien,défendent,Ces facteurs près du gardien défendent des plombiers.,visual,servent,False,6.5
trial_10,GS,sr_pp,no,yes,no,,sing,sing,sing,chef,facteur,suit,Auprès du chef un facteur suit ce prêtre.,visual,chef,True,7.0
trial_11,GSLS,lr_obj,no,yes,no,,plur,plur,plur,coiffeurs,facteurs,bénissent,Des coiffeurs que les facteurs bénissent peignent rarement.,visual,les,True,5.0
trial_12,GSLS,lr_obj,no,yes,no,,sing,sing,sing,client,facteur,sert,Ce client que ce facteur sert veut partir.,visual,client,True,5.5
trial_13,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,marchand,patients,entend,Ce marchand que les patients entend répond aussitôt.,visual,plombier,False,6.0
trial_14,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,comédiens,dentistes,endort,Près des comédiens des dentistes endort ces vendeurs.,visual,des,True,6.5
trial_15,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,chanteur,pompier,plaignent,Ce chanteur que ce pompier plaignent repart dehors.,visual,chanteur,True,7.0
trial_16,GSLD,lr_pp,no,no,yes,,sing,plur,sing,gérant,marchands,entend,Ce gérant loin des marchands entend le serveur.,visual,entend,True,5.0
trial_17,GS,sr_pp,no,yes,no,,plur,plur,plur,champions,gérants,endorment,Loin des champions les gérants endorment ces patients.,visual,des,True,5.5
trial_18,GSLS,lr_pp,no,yes,no,,sing,sing,sing,patient,serveur,attend,Ce patient près du serveur attend le soldat.,visual,Un,False,6.0
trial_19,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,client,haïssent,Auprès du chanteur le client haïssent un patient.,visual,client,True,6.5
trial_20,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,chefs,gardien,haïssent,Des chefs que ce gardien haïssent doivent payer.,visual,le,False,7.0
