,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,marchand,veut,élit,Un marchand près du veut élit le serveur.,auditory
1,trial_2,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,malades,matelots,punit,Des malades auprès des matelots punit les peintres.,auditory
2,trial_3,GSLS,pp,no,no,yes,no,None,plur,plur,plur,chanteurs,malades,séduisent,Les chanteurs proche des malades séduisent des pompiers.,auditory
3,trial_4,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,bouchers,clients,émeut,Les bouchers que les clients émeut répondent aussitôt.,auditory
4,trial_5,GDLS,obj,no,no,no,yes,None,sing,plur,plur,chanteur,comédiens,émeuvent,Le chanteur que ces comédiens émeuvent vomit encore.,auditory
5,trial_6,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,libraires,vomissent,reçoivent,Les libraires près des vomissent reçoivent ces soldats.,auditory
6,trial_7,GSLD,pp,no,no,no,yes,None,sing,plur,sing,boucher,coiffeurs,bénit,Le boucher près des coiffeurs bénit ce comédien.,auditory
7,trial_8,GDLS,obj,no,no,no,yes,None,plur,sing,sing,chanteurs,gérant,attend,Ces chanteurs que ce gérant attend veulent dormir.,auditory
8,trial_9,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,marchand,doit,reçoit,Le marchand auprès du doit reçoit ce vendeur.,auditory
9,trial_10,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,coiffeurs,libraires,punit,Des coiffeurs que ces libraires punit peignent souvent.,auditory
10,trial_11,GDLS,obj,no,no,no,yes,None,plur,sing,sing,gérants,pompier,punit,Ces gérants que ce pompier punit savent danser.,auditory
11,trial_12,GDLS,pp,no,yes,no,no,6,plur,sing,sing,comédiens,patient,bénit,Ces comédiens loin du patient bénit des plombiers.,auditory
12,trial_13,GSLS,pp,no,no,yes,no,None,sing,sing,sing,coiffeur,malade,endort,Le coiffeur loin du malade endort un soldat.,auditory
13,trial_14,GSLS,obj,no,no,yes,no,None,sing,sing,sing,chef,serveur,bénit,Ce chef que le serveur bénit écrit toujours.,auditory
14,trial_15,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,champion,matelot,séduisent,Un champion loin du matelot séduisent le notaire.,auditory
15,trial_16,GSLS,obj,no,no,yes,no,None,plur,plur,plur,champions,clients,élisent,Des champions que les clients élisent doivent payer.,auditory
16,trial_17,GDLS,pp,no,yes,no,no,6,plur,sing,sing,chefs,comédien,plaint,Ces chefs loin du comédien plaint des patients.,auditory
17,trial_18,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,dentiste,marchand,défendent,Ce dentiste que le marchand défendent sait conduire.,auditory
18,trial_19,GSLD,pp,no,no,no,yes,None,plur,sing,plur,clients,libraire,bénissent,Des clients proche du libraire bénissent les patients.,auditory
19,trial_20,GSLS,pp,no,no,yes,no,None,plur,plur,plur,clients,médecins,défendent,Ces clients auprès des médecins défendent les vendeurs.,auditory
20,trial_21,GSLD,obj,no,yes,no,no,6,sing,plur,sing,dentiste,juges,entend,Un dentiste que ces juges entend part demain.,auditory
21,trial_22,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,client,matelot,bénissent,Ce client que le matelot bénissent veut dormir.,auditory
22,trial_23,GDLS,pp,no,yes,no,no,6,sing,plur,plur,danseur,facteurs,reçoivent,Le danseur loin des facteurs reçoivent le soldat.,auditory
23,trial_24,GDLS,obj,no,no,no,yes,None,plur,sing,sing,marins,plombier,élit,Des marins que ce plombier élit écrivent toujours.,auditory
24,trial_25,GSLD,pp,no,no,no,yes,None,sing,plur,sing,juge,malades,décrit,Ce juge loin des malades décrit un marin.,auditory
25,trial_26,GSLD,pp,no,no,no,yes,None,plur,sing,plur,marchands,plombier,punissent,Ces marchands proche du plombier punissent ces vendeurs.,auditory
26,trial_27,GSLD,obj,no,yes,no,no,6,sing,plur,sing,champion,gardiens,hait,Le champion que les gardiens hait vomit partout.,auditory
27,trial_28,GSLS,pp,no,no,yes,no,None,sing,sing,sing,champion,matelot,bénit,Ce champion loin du matelot bénit le médecin.,auditory
28,trial_29,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,bouchers,danseurs,sert,Ces bouchers loin des danseurs sert les prêtres.,auditory
29,trial_30,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,gérant,matelot,reçoivent,Le gérant loin du matelot reçoivent ce serveur.,auditory
30,trial_31,GSLS,obj,no,no,yes,no,None,plur,plur,plur,bouchers,comédiens,punissent,Les bouchers que ces comédiens punissent vomissent souvent.,auditory
31,trial_32,GSLS,pp,no,no,yes,no,None,plur,plur,plur,comédiens,notaires,plaignent,Des comédiens auprès des notaires plaignent des prêtres.,auditory
32,trial_33,GDLS,pp,no,yes,no,no,6,sing,plur,plur,champion,clients,séduisent,Le champion près des clients séduisent ce patient.,auditory
33,trial_34,GSLS,pp,no,no,yes,no,None,sing,sing,sing,danseur,dentiste,émeut,Ce danseur loin du dentiste émeut le malade.,auditory
34,trial_35,GSLS,obj,no,no,yes,no,None,sing,sing,sing,comédien,juge,séduit,Ce comédien que le juge séduit écrit souvent.,auditory
35,trial_36,GSLD,obj,no,yes,no,no,6,sing,plur,sing,champion,médecins,suit,Ce champion que ces médecins suit répond rarement.,auditory
36,trial_37,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,boucher,comédien,craignent,Ce boucher près du comédien craignent un serveur.,auditory
37,trial_38,GSLD,pp,no,no,no,yes,None,plur,sing,plur,matelots,notaire,endorment,Les matelots proche du notaire endorment les vendeurs.,auditory
38,trial_39,GSLS,pp,no,no,yes,no,None,sing,sing,sing,médecin,peintre,séduit,Ce médecin loin du peintre séduit le vendeur.,auditory
39,trial_40,GSLD,pp,no,no,no,yes,None,plur,sing,plur,champions,gardien,décrivent,Ces champions près du gardien décrivent des notaires.,auditory
40,trial_41,GSLD,obj,no,yes,no,no,6,plur,sing,plur,comédiens,facteur,émeuvent,Ces comédiens que ce facteur émeuvent répondent aussitôt.,auditory
41,trial_42,GSLS,obj,no,no,yes,no,None,plur,plur,plur,dentistes,gérants,craignent,Les dentistes que les gérants craignent écrivent rarement.,auditory
42,trial_43,GDLS,pp,no,yes,no,no,6,plur,sing,sing,coiffeurs,notaire,reçoit,Ces coiffeurs loin du notaire reçoit ces pompiers.,auditory
43,trial_44,GSLD,pp,no,no,no,yes,None,sing,plur,sing,champion,chanteurs,endort,Ce champion auprès des chanteurs endort un matelot.,auditory
44,trial_45,GDLS,obj,no,no,no,yes,None,sing,plur,plur,dentiste,notaires,émeuvent,Ce dentiste que les notaires émeuvent répond aussitôt.,auditory
45,trial_46,GSLS,obj,no,no,yes,no,None,sing,sing,sing,champion,coiffeur,attend,Ce champion que le coiffeur attend écrit souvent.,auditory
46,trial_47,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,bouchers,comédiens,haïssent,Des bouchers que les comédiens haïssent comédiens souvent.,auditory
47,trial_48,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,comédien,marin,attendent,Le comédien que le marin attendent vomit partout.,auditory
48,trial_49,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,gardiens,gérants,craint,Ces gardiens près des gérants craint les serveurs.,auditory
49,trial_50,GSLD,obj,no,yes,no,no,6,sing,plur,sing,matelot,peintres,suit,Le matelot que les peintres suit repart aussitôt.,auditory
50,trial_51,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,comédien,répond,craint,Le comédien proche du répond craint un juge.,auditory
51,trial_52,GDLS,pp,no,yes,no,no,6,sing,plur,plur,chef,libraires,reçoivent,Le chef proche des libraires reçoivent le prêtre.,auditory
52,trial_53,GSLS,obj,no,no,yes,no,None,sing,sing,sing,comédien,médecin,attend,Ce comédien que le médecin attend repart aussitôt.,auditory
53,trial_54,GSLD,pp,no,no,no,yes,None,sing,plur,sing,champion,pompiers,séduit,Ce champion proche des pompiers séduit ce prêtre.,auditory
54,trial_55,GSLD,obj,no,yes,no,no,6,sing,plur,sing,pompier,prêtres,entend,Ce pompier que les prêtres entend peint souvent.,auditory
55,trial_56,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,bouchers,dentistes,endort,Ces bouchers que les dentistes endort mentent souvent.,auditory
56,trial_57,GSLD,obj,no,yes,no,no,6,plur,sing,plur,gardiens,malade,craignent,Ces gardiens que ce malade craignent écrivent parfois.,auditory
57,trial_58,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,dentiste,marchand,émeut,Le dentiste que ce marchand émeut marin payer.,auditory
58,trial_59,GDLS,pp,no,yes,no,no,6,sing,plur,plur,gardien,libraires,suivent,Un gardien près des libraires suivent un plombier.,auditory
59,trial_60,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,plombier,prêtre,plaignent,Le plombier proche du prêtre plaignent un vendeur.,auditory
60,trial_61,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,champion,chef,attendent,Un champion que ce chef attendent peint rarement.,auditory
61,trial_62,GSLS,obj,no,no,yes,no,None,plur,plur,plur,comédiens,notaires,élisent,Ces comédiens que ces notaires élisent écrivent rarement.,auditory
62,trial_63,GSLS,obj,no,no,yes,no,None,plur,plur,plur,comédiens,dentistes,émeuvent,Ces comédiens que les dentistes émeuvent repartent dehors.,auditory
63,trial_64,GSLS,pp,no,no,yes,no,None,plur,plur,plur,bouchers,malades,plaignent,Des bouchers près des malades plaignent des serveurs.,auditory
64,trial_65,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,marchands,notaires,émeut,Les marchands auprès des notaires émeut les vendeurs.,auditory
65,trial_66,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,boucher,marin,plaignent,Le boucher que ce marin plaignent vomit partout.,auditory
66,trial_67,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,chanteurs,prêtres,émeut,Les chanteurs auprès des prêtres émeut les soldats.,auditory
67,trial_68,GSLS,pp,no,no,yes,no,None,sing,sing,sing,matelot,patient,élit,Un matelot proche du patient élit un soldat.,auditory
68,trial_69,GSLD,obj,no,yes,no,no,6,plur,sing,plur,chefs,juge,défendent,Les chefs que le juge défendent veulent mourir.,auditory
69,trial_70,GDLS,obj,no,no,no,yes,None,plur,sing,sing,champions,coiffeur,séduit,Les champions que ce coiffeur séduit répondent aussitôt.,auditory
70,trial_71,GDLS,obj,no,no,no,yes,None,sing,plur,plur,coiffeur,marins,émeuvent,Ce coiffeur que les marins émeuvent sait nager.,auditory
71,trial_72,GSLD,obj,no,yes,no,no,6,plur,sing,plur,chefs,pompier,émeuvent,Ces chefs que ce pompier émeuvent veulent manger.,auditory
72,trial_73,GDLS,obj,no,no,no,yes,None,plur,sing,sing,notaires,plombier,punit,Des notaires que le plombier punit repartent aussitôt.,auditory
73,trial_74,GDLS,pp,no,yes,no,no,6,plur,sing,sing,marchands,matelot,hait,Ces marchands auprès du matelot hait les vendeurs.,auditory
74,trial_75,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,gardiens,marins,craint,Les gardiens que ces marins craint vomissent partout.,auditory
75,trial_76,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,boucher,dentiste,décrit,Un boucher que ce dentiste décrit plombier souvent.,auditory
76,trial_77,GSLS,obj,no,no,yes,no,None,sing,sing,sing,chef,soldat,attend,Un chef que le soldat attend écrit toujours.,auditory
77,trial_78,GSLD,pp,no,no,no,yes,None,plur,sing,plur,facteurs,libraire,haïssent,Ces facteurs proche du libraire haïssent ces peintres.,auditory
78,trial_79,GSLD,obj,no,yes,no,no,6,plur,sing,plur,comédiens,juge,décrivent,Des comédiens que ce juge décrivent doivent payer.,auditory
79,trial_80,GDLS,obj,no,no,no,yes,None,sing,plur,plur,gardien,marins,punissent,Le gardien que les marins punissent veut manger.,auditory
80,trial_81,GSLD,pp,no,no,no,yes,None,sing,plur,sing,comédien,matelots,décrit,Un comédien auprès des matelots décrit un peintre.,auditory
81,trial_82,GDLS,pp,no,yes,no,no,6,plur,sing,sing,facteurs,juge,suit,Les facteurs proche du juge suit des médecins.,auditory
82,trial_83,GDLS,pp,no,yes,no,no,6,sing,plur,plur,coiffeur,libraires,suivent,Un coiffeur auprès des libraires suivent ce serveur.,auditory
83,trial_84,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,chanteurs,chefs,élisent,Les chanteurs que les chefs élisent malades aussitôt.,auditory
84,trial_85,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,marins,plombiers,attend,Des marins que les plombiers attend mentent parfois.,auditory
85,trial_86,GSLS,pp,no,no,yes,no,None,plur,plur,plur,chanteurs,juges,reçoivent,Les chanteurs auprès des juges reçoivent des notaires.,auditory
86,trial_87,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,champion,libraire,défendent,Le champion auprès du libraire défendent un notaire.,auditory
87,trial_88,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,peintres,doivent,bénissent,Ces peintres auprès des doivent bénissent les serveurs.,auditory
88,trial_89,GDLS,obj,no,no,no,yes,None,sing,plur,plur,patient,prêtres,suivent,Ce patient que les prêtres suivent sait nager.,auditory
89,trial_90,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,malades,plombiers,élisent,Ces malades que les plombiers élisent pompiers encore.,auditory
