trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_1,GDLS,lr_obj,no,no,yes,,plur,sing,sing,champions,chef,émeut,Ces champions que le chef émeut écrivent souvent.,auditory,que,True,5.0
trial_2,GS,sr_pp,no,yes,no,,sing,sing,sing,marin,notaire,défend,Loin du marin un notaire défend un prêtre.,auditory,dentiste,False,5.5
trial_3,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chef,facteurs,endort,Ce chef proche des facteurs endort ce serveur.,auditory,facteurs,True,6.0
trial_4,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,danseur,dentiste,plaignent,Auprès du danseur le dentiste plaignent ce matelot.,auditory,un,False,6.5
trial_5,GSLS,lr_pp,no,yes,no,,sing,sing,sing,coiffeur,comédien,plaint,Le coiffeur loin du comédien plaint le danseur.,auditory,coiffeur,True,7.0
trial_6,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,danseurs,patients,émeut,Auprès des danseurs les patients émeut les plombiers.,auditory,les,True,5.0
trial_7,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,marchand,peintre,bénissent,Un marchand que ce peintre bénissent part demain.,auditory,Le,False,5.5
trial_8,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,danseurs,libraire,attend,Des danseurs près du libraire attend ces soldats.,auditory,proche,False,6.0
trial_9,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,danseur,gardiens,punissent,Le danseur auprès des gardiens punissent le patient.,auditory,le,True,6.5
trial_10,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,libraires,marins,suit,Les libraires près des marins suit les matelots.,auditory,coiffeurs,False,7.0
trial_11,GSLS,lr_pp,no,yes,no,,plur,plur,plur,champions,soldats,élisent,Ces champions loin des soldats élisent ces vendeurs.,auditory,loin,True,5.0
trial_12,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,boucher,dentistes,reçoit,Un boucher que les dentistes reçoit sait conduire.,auditory,Le,False,5.5
trial_13,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,marin,notaire,bénissent,Ce marin loin du notaire bénissent un plombier.,auditory,loin,True,6.0
trial_14,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,gérants,patients,reçoit,Des gérants que ces patients reçoit partent lentement.,auditory,que,True,6.5
trial_15,GS,sr_pp,no,yes,no,,plur,plur,plur,chanteurs,clients,endorment,Loin des chanteurs des clients endorment des facteurs.,auditory,prêtres,False,7.0
trial_16,GDLS,lr_obj,no,no,yes,,sing,plur,plur,champion,danseurs,défendent,Un champion que les danseurs défendent peint rarement.,auditory,les,True,5.0
trial_17,GSLS,lr_obj,no,yes,no,,plur,plur,plur,juges,patients,punissent,Les juges que les patients punissent mentent souvent.,auditory,punissent,True,5.5
trial_18,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,bouchers,danseur,séduisent,Les bouchers que ce danseur séduisent doivent payer.,auditory,ce,True,6.0
trial_19,GSLD,lr_pp,no,no,yes,,plur,sing,plur,dentistes,juge,punissent,Les dentistes loin du juge punissent des marchands.,auditory,marins,False,6.5
trial_20,GSLS,lr_obj,no,yes,no,,sing,sing,sing,dentiste,libraire,craint,Le dentiste que ce libraire craint vomit parfois.,auditory,vomit,True,7.0
trial_21,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,chanteur,entendent,Près du boucher un chanteur entendent ce comédien.,visual,boucher,True,5.0
