,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,coiffeur,comédiens,défendent,Ce coiffeur près des comédiens défendent le médecin.,visual
1,1,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,dentiste,punissent,Près du boucher le dentiste punissent ce soldat.,visual
2,2,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,dentistes,marchands,entendent,Ces dentistes que les marchands entendent vomissent encore.,visual
3,3,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,champion,clients,punissent,Le champion que ces clients punissent repart dehors.,visual
4,4,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chanteurs,gardien,bénissent,Ces chanteurs que le gardien bénissent partent lentement.,visual
5,5,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,facteur,marin,décrit,Proche du facteur un marin décrit le serveur.,visual
6,6,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,juges,prêtre,élit,Les juges que ce prêtre élit partent demain.,visual
7,7,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,coiffeur,danseur,décrit,Ce coiffeur auprès du danseur décrit le pompier.,visual
8,8,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chanteurs,danseur,endorment,Ces chanteurs que ce danseur endorment vomissent partout.,visual
9,9,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,marchand,marin,décrit,Ce marchand loin du marin décrit le pompier.,visual
10,10,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,comédien,marin,entendent,Le comédien que ce marin entendent sait conduire.,visual
11,11,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,champion,peintre,suit,Un champion que le peintre suit répond rarement.,visual
12,12,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,médecin,patient,élisent,Le médecin que le patient élisent peint rarement.,visual
13,13,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,dentistes,punit,Loin des comédiens des dentistes punit des juges.,visual
14,14,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,marchands,marins,punissent,Proche des marchands ces marins punissent des pompiers.,visual
15,15,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,facteurs,libraires,entend,Proche des facteurs les libraires entend les vendeurs.,visual
16,16,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,client,dentiste,punit,Près du client ce dentiste punit le serveur.,visual
17,17,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,dentiste,libraires,sert,Le dentiste que les libraires sert repart demain.,visual
18,18,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,client,suivent,Auprès du boucher ce client suivent un notaire.,visual
19,19,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,champion,comédiens,suivent,Ce champion que les comédiens suivent peint souvent.,visual
20,20,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,danseur,dentiste,haïssent,Ce danseur proche du dentiste haïssent un pompier.,visual
