,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,notaire,attendent,Ce boucher près du notaire attendent le peintre.,visual
1,1,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,coiffeurs,dentiste,attendent,Des coiffeurs auprès du dentiste attendent des gardiens.,visual
2,2,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,juge,prêtre,reçoit,Ce juge près du prêtre reçoit un vendeur.,visual
3,3,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,dentiste,peintres,émeut,Un dentiste proche des peintres émeut ce pompier.,visual
4,4,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,gérants,juge,entend,Ces gérants que ce juge entend repartent déjà.,visual
5,5,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,gardien,matelots,attendent,Le gardien loin des matelots attendent un vendeur.,visual
6,6,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,chef,marchand,punit,Le chef que ce marchand punit vomit encore.,visual
7,7,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,patients,peintre,entend,Des patients auprès du peintre entend les vendeurs.,visual
8,8,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,gérant,médecin,haïssent,Un gérant que ce médecin haïssent peint toujours.,visual
9,9,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,marchands,peintre,attendent,Des marchands loin du peintre attendent les pompiers.,visual
10,10,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,champions,coiffeurs,émeut,Des champions que ces coiffeurs émeut répondent lentement.,visual
11,11,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,dentistes,matelots,servent,Ces dentistes près des matelots servent des peintres.,visual
12,12,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,comédien,gardien,punissent,Auprès du comédien le gardien punissent le marchand.,visual
13,13,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,champions,marchand,bénit,Ces champions auprès du marchand bénit ces peintres.,visual
14,14,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,malades,soldats,élisent,Ces malades que ces soldats élisent mentent toujours.,visual
15,15,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,chefs,coiffeurs,décrivent,Ces chefs près des coiffeurs décrivent les pompiers.,visual
16,16,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,plombier,pompiers,craignent,Ce plombier que ces pompiers craignent doit manger.,visual
17,17,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,juge,patient,sert,Le juge auprès du patient sert ce plombier.,visual
18,18,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,gardiens,marchands,punissent,Des gardiens que ces marchands punissent veulent dormir.,visual
19,19,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,facteurs,gérants,émeut,Ces facteurs proche des gérants émeut les plombiers.,visual
20,20,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chefs,dentiste,séduisent,Les chefs que ce dentiste séduisent mentent parfois.,visual
21,21,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,gardien,juge,craint,Loin du gardien ce juge craint le malade.,visual
22,22,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,champions,chefs,entendent,Loin des champions ces chefs entendent des juges.,visual
23,23,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,comédien,élisent,Le chanteur près du comédien élisent un peintre.,visual
24,24,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,chef,coiffeur,plaint,Auprès du chef ce coiffeur plaint ce peintre.,visual
25,25,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,médecins,attend,Proche des comédiens ces médecins attend des pompiers.,visual
26,26,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,chefs,libraires,punit,Les chefs loin des libraires punit les patients.,visual
27,27,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,comédien,libraires,décrit,Un comédien que les libraires décrit doit manger.,visual
28,28,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,libraires,médecins,séduisent,Proche des libraires ces médecins séduisent les serveurs.,visual
29,29,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,dentiste,facteur,bénit,Ce dentiste que ce facteur bénit peint toujours.,visual
30,30,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,facteurs,gardien,séduit,Les facteurs que le gardien séduit repartent aussitôt.,visual
31,31,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,comédien,peintre,haïssent,Près du comédien un peintre haïssent ce pompier.,visual
32,32,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,danseurs,patients,entend,Ces danseurs que ces patients entend doivent manger.,visual
33,33,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,libraire,malades,entend,Le libraire proche des malades entend le peintre.,visual
34,34,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,comédien,juges,décrit,Ce comédien que ces juges décrit vomit parfois.,visual
35,35,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,chef,marchands,haïssent,Ce chef auprès des marchands haïssent ce marin.,visual
