trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_1,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,chef,comédiens,craint,Un chef que les comédiens craint répond lentement.,auditory,prêtre,False,5.0
trial_2,GSLD,lr_pp,no,no,yes,,plur,sing,plur,comédiens,marin,bénissent,Des comédiens loin du marin bénissent les matelots.,auditory,marins,False,5.5
trial_3,GSLS,lr_obj,no,yes,no,,sing,sing,sing,danseur,médecin,reçoit,Un danseur que ce médecin reçoit répond rarement.,auditory,rarement,True,6.0
trial_4,GS,sr_pp,no,yes,no,,sing,sing,sing,matelot,pompier,craint,Proche du matelot le pompier craint un vendeur.,auditory,marchand,False,6.5
trial_5,GS,sr_pp,no,yes,no,,plur,plur,plur,chanteurs,danseurs,entendent,Loin des chanteurs ces danseurs entendent des gardiens.,auditory,danseurs,True,7.0
trial_6,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,coiffeurs,marin,haïssent,Des coiffeurs que le marin haïssent partent demain.,auditory,haïssent,True,5.0
trial_7,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,marin,notaire,décrivent,Loin du marin le notaire décrivent un vendeur.,auditory,ce,False,5.5
trial_8,GSLS,lr_obj,no,yes,no,,plur,plur,plur,chefs,comédiens,craignent,Les chefs que les comédiens craignent doivent partir.,auditory,doivent,True,6.0
trial_9,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,gardien,médecin,reçoivent,Ce gardien que le médecin reçoivent peint toujours.,auditory,sait,False,6.5
trial_10,GSLS,lr_pp,no,yes,no,,sing,sing,sing,client,juge,séduit,Ce client loin du juge séduit ce plombier.,auditory,soldat,False,7.0
trial_11,GDLS,lr_obj,no,no,yes,,sing,plur,plur,boucher,malades,attendent,Un boucher que ces malades attendent veut partir.,auditory,près,False,5.0
trial_12,GSLD,lr_pp,no,no,yes,,sing,plur,sing,gérant,médecins,entend,Ce gérant proche des médecins entend ce patient.,auditory,près,False,5.5
trial_13,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,coiffeur,libraires,attendent,Un coiffeur proche des libraires attendent ce marin.,auditory,coiffeur,True,6.0
trial_14,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,facteurs,malades,séduit,Ces facteurs près des malades séduit des marins.,auditory,dentistes,False,6.5
trial_15,GDLS,lr_obj,no,no,yes,,plur,sing,sing,comédiens,soldat,attend,Ces comédiens que le soldat attend peignent rarement.,auditory,Des,False,7.0
trial_16,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,danseurs,facteurs,craint,Loin des danseurs les facteurs craint des patients.,auditory,ces,False,5.0
trial_17,GSLS,lr_pp,no,yes,no,,plur,plur,plur,bouchers,marchands,craignent,Des bouchers proche des marchands craignent ces plombiers.,auditory,marchands,True,5.5
trial_18,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,chef,pompier,bénissent,Ce chef proche du pompier bénissent un prêtre.,auditory,proche,True,6.0
trial_19,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,bouchers,malades,punit,Ces bouchers que ces malades punit veulent dormir.,auditory,Ces,True,6.5
trial_20,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,bouchers,chef,endort,Ces bouchers près du chef endort ces comédiens.,auditory,décrit,False,7.0
trial_21,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,comédien,attendent,Ce boucher près du comédien attendent ce notaire.,visual,Un,False,5.0
trial_22,GDLS,lr_obj,no,no,yes,,sing,plur,plur,dentiste,patients,haïssent,Un dentiste que les patients haïssent ment souvent.,visual,Un,True,5.5
trial_23,GSLS,lr_pp,no,yes,no,,plur,plur,plur,comédiens,marins,endorment,Ces comédiens loin des marins endorment ces plombiers.,visual,craignent,False,6.0
trial_24,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,danseurs,marins,défend,Les danseurs loin des marins défend des peintres.,visual,médecins,False,6.5
