trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,gérant,juges,endorment,Le gérant proche des juges endorment un pompier.,visual,proche,True,5.0
trial_2,GDLS,lr_obj,no,no,yes,,plur,sing,sing,libraires,prêtre,émeut,Des libraires que le prêtre émeut repartent demain.,visual,émeut,True,5.5
trial_3,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,comédien,bénissent,Proche du chanteur le comédien bénissent ce marin.,visual,bénissent,True,6.0
trial_4,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,chanteur,dentiste,endorment,Ce chanteur que ce dentiste endorment doit payer.,visual,Ce,True,6.5
trial_5,GSLD,lr_pp,no,no,yes,,plur,sing,plur,coiffeurs,plombier,entendent,Ces coiffeurs proche du plombier entendent les vendeurs.,visual,Des,False,7.0
trial_6,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,champions,facteur,craignent,Ces champions que le facteur craignent doivent dormir.,visual,craignent,True,5.0
trial_7,GS,sr_pp,no,yes,no,,plur,plur,plur,chefs,gérants,attendent,Proche des chefs les gérants attendent des prêtres.,visual,les,True,5.5
trial_8,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,plombiers,plaint,Ces chanteurs que ces plombiers plaint écrivent toujours.,visual,mentent,False,6.0
trial_9,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,malade,marins,reçoit,Ce malade que les marins reçoit repart dehors.,visual,dehors,True,6.5
trial_10,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chef,coiffeurs,punit,Ce chef proche des coiffeurs punit le comédien.,visual,gardien,False,7.0
trial_11,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,gérants,malades,défend,Près des gérants ces malades défend les marchands.,visual,pompiers,False,5.0
trial_12,GSLS,lr_pp,no,yes,no,,sing,sing,sing,malade,matelot,décrit,Ce malade loin du matelot décrit un vendeur.,visual,loin,True,5.5
trial_13,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,dentiste,libraire,défendent,Un dentiste auprès du libraire défendent un marin.,visual,marchand,False,6.0
trial_14,GSLS,lr_obj,no,yes,no,,sing,sing,sing,gardien,libraire,hait,Ce gardien que ce libraire hait repart déjà.,visual,Un,False,6.5
trial_15,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,comédiens,malades,reçoit,Ces comédiens près des malades reçoit les notaires.,visual,reçoit,True,7.0
trial_16,GS,sr_pp,no,yes,no,,sing,sing,sing,chanteur,chef,craint,Près du chanteur le chef craint un comédien.,visual,ce,False,5.0
trial_17,GSLS,lr_obj,no,yes,no,,plur,plur,plur,clients,danseurs,reçoivent,Des clients que ces danseurs reçoivent veulent mourir.,visual,les,False,5.5
trial_18,GSLS,lr_pp,no,yes,no,,plur,plur,plur,chanteurs,malades,séduisent,Les chanteurs auprès des malades séduisent ces plombiers.,visual,malades,True,6.0
trial_19,GDLS,lr_obj,no,no,yes,,sing,plur,plur,malade,marins,punissent,Ce malade que les marins punissent vomit souvent.,visual,que,True,6.5
trial_20,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,clients,plombier,séduit,Des clients proche du plombier séduit les vendeurs.,visual,du,True,7.0
trial_21,GDLS,lr_obj,no,no,yes,,plur,sing,sing,dentistes,malade,émeut,Des dentistes que le malade émeut peignent rarement.,auditory,souvent,False,5.0
trial_22,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,danseur,gérant,reçoivent,Le danseur que ce gérant reçoivent part lentement.,auditory,Un,False,5.5
trial_23,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,champion,peintre,punissent,Le champion près du peintre punissent un serveur.,auditory,un,True,6.0
trial_24,GDLS,lr_obj,no,no,yes,,sing,plur,plur,danseur,juges,servent,Ce danseur que les juges servent part demain.,auditory,danseur,True,6.5
