trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GSLS,lr_pp,no,yes,no,,sing,sing,sing,facteur,malade,entend,Un facteur auprès du malade entend ce matelot.,auditory,proche,False,5.0
trial_2,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,comédiens,serveur,défendent,Des comédiens que ce serveur défendent écrivent toujours.,auditory,comédiens,True,5.5
trial_3,GSLS,lr_obj,no,yes,no,,plur,plur,plur,chanteurs,juges,plaignent,Les chanteurs que ces juges plaignent vomissent partout.,auditory,ces,True,6.0
trial_4,GSLD,lr_pp,no,no,yes,,plur,sing,plur,marins,matelot,entendent,Des marins près du matelot entendent des peintres.,auditory,ce,False,6.5
trial_5,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,comédien,dentistes,sert,Ce comédien que ces dentistes sert veut dormir.,auditory,mourir,False,7.0
trial_6,GSLS,lr_obj,no,yes,no,,sing,sing,sing,champion,notaire,endort,Un champion que le notaire endort peint souvent.,auditory,suit,False,5.0
trial_7,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,juges,libraire,sert,Ces juges près du libraire sert les notaires.,auditory,un,False,5.5
trial_8,GS,sr_pp,no,yes,no,,sing,sing,sing,boucher,libraire,décrit,Loin du boucher le libraire décrit le marchand.,auditory,Loin,True,6.0
trial_9,GS,sr_pp,no,yes,no,,plur,plur,plur,danseurs,pompiers,élisent,Auprès des danseurs ces pompiers élisent ces prêtres.,auditory,les,False,6.5
trial_10,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,danseurs,matelots,sert,Proche des danseurs les matelots sert les vendeurs.,auditory,marins,False,7.0
trial_11,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,client,coiffeur,défendent,Ce client que le coiffeur défendent veut partir.,auditory,client,True,5.0
