trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_1,GDLS,lr_obj,no,no,yes,,sing,plur,plur,chanteur,marins,décrivent,Le chanteur que ces marins décrivent part demain.,visual,les,False,5.0
trial_2,GS,sr_pp,no,yes,no,,sing,sing,sing,malade,matelot,craint,Près du malade un matelot craint le peintre.,visual,peintre,True,5.5
trial_3,GS,sr_pp,no,yes,no,,plur,plur,plur,coiffeurs,notaires,reçoivent,Près des coiffeurs des notaires reçoivent ces prêtres.,visual,les,False,6.0
trial_4,GSLD,lr_pp,no,no,yes,,sing,plur,sing,coiffeur,dentistes,attend,Le coiffeur loin des dentistes attend ce pompier.,visual,coiffeur,True,6.5
trial_5,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,comédiens,reçoit,Des chanteurs que ces comédiens reçoit peignent parfois.,visual,peignent,True,7.0
trial_6,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,danseur,libraire,endorment,Loin du danseur un libraire endorment ce patient.,visual,notaire,False,5.0
trial_7,GSLS,lr_pp,no,yes,no,,plur,plur,plur,marchands,marins,servent,Ces marchands auprès des marins servent les médecins.,visual,marins,True,5.5
trial_8,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,danseurs,facteur,endorment,Ces danseurs que ce facteur endorment vomissent partout.,visual,vomissent,True,6.0
trial_9,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,comédien,suivent,Ce boucher près du comédien suivent un juge.,visual,le,False,6.5
trial_10,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,champions,chef,suit,Des champions proche du chef suit des marchands.,visual,séduit,False,7.0
trial_11,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,chanteurs,juges,défend,Les chanteurs près des juges défend les pompiers.,visual,ces,False,5.0
trial_12,GDLS,lr_obj,no,no,yes,,plur,sing,sing,facteurs,prêtre,reçoit,Ces facteurs que ce prêtre reçoit vomissent encore.,visual,reçoit,True,5.5
trial_13,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,marchands,médecins,séduit,Auprès des marchands ces médecins séduit les plombiers.,visual,Proche,False,6.0
trial_14,GSLS,lr_pp,no,yes,no,,sing,sing,sing,marchand,médecin,craint,Le marchand auprès du médecin craint le soldat.,visual,boucher,False,6.5
trial_15,GSLS,lr_obj,no,yes,no,,plur,plur,plur,bouchers,champions,punissent,Les bouchers que ces champions punissent peignent toujours.,visual,endorment,False,7.0
trial_16,GSLD,lr_pp,no,no,yes,,plur,sing,plur,facteurs,marchand,entendent,Des facteurs près du marchand entendent ces pompiers.,visual,marins,False,5.0
trial_17,GSLS,lr_obj,no,yes,no,,sing,sing,sing,danseur,gérant,bénit,Le danseur que ce gérant bénit ment toujours.,visual,souvent,False,5.5
trial_18,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,chef,matelot,reçoivent,Le chef que ce matelot reçoivent vomit souvent.,visual,souvent,True,6.0
trial_19,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,gardien,médecins,servent,Le gardien loin des médecins servent ce patient.,visual,Un,False,6.5
trial_20,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,client,marins,suit,Le client que les marins suit doit manger.,visual,les,True,7.0
trial_21,GDLS,lr_obj,no,no,yes,,sing,plur,plur,boucher,gardiens,entendent,Ce boucher que ces gardiens entendent sait conduire.,auditory,les,False,5.0
trial_22,GSLS,lr_obj,no,yes,no,,sing,sing,sing,coiffeur,comédien,hait,Le coiffeur que le comédien hait peint parfois.,auditory,Ce,False,5.5
trial_23,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,bouchers,chef,décrit,Les bouchers près du chef décrit les danseurs.,auditory,Les,True,6.0
trial_24,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,champion,facteur,servent,Proche du champion un facteur servent le notaire.,auditory,ce,False,6.5
trial_25,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,clients,marins,émeut,Loin des clients ces marins émeut les patients.,auditory,les,True,7.0
trial_26,GSLS,lr_obj,no,yes,no,,plur,plur,plur,coiffeurs,juges,attendent,Ces coiffeurs que les juges attendent veulent partir.,auditory,partir,True,5.0
trial_27,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,marchand,entendent,Le boucher auprès du marchand entendent ce pompier.,auditory,un,False,5.5
trial_28,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,champions,gérant,servent,Les champions que ce gérant servent savent danser.,auditory,nager,False,6.0
trial_29,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,libraire,peintres,entendent,Un libraire près des peintres entendent le plombier.,auditory,ces,False,6.5
trial_30,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,chef,client,endorment,Ce chef que le client endorment peint souvent.,auditory,Un,False,7.0
trial_31,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,boucher,gérants,décrit,Un boucher que les gérants décrit peint toujours.,auditory,ces,False,5.0
trial_32,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chanteur,chefs,sert,Un chanteur près des chefs sert le malade.,auditory,auprès,False,5.5
trial_33,GSLS,lr_pp,no,yes,no,,sing,sing,sing,boucher,coiffeur,craint,Un boucher loin du coiffeur craint le gardien.,auditory,craint,True,6.0
trial_34,GS,sr_pp,no,yes,no,,plur,plur,plur,bouchers,champions,endorment,Proche des bouchers des champions endorment ces matelots.,auditory,matelots,True,6.5
trial_35,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,champions,dentistes,élit,Ces champions que les dentistes élit écrivent parfois.,auditory,les,True,7.0
trial_36,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,matelots,plaint,Des coiffeurs près des matelots plaint les soldats.,auditory,coiffeurs,True,5.0
trial_37,GDLS,lr_obj,no,no,yes,,plur,sing,sing,champions,chef,sert,Ces champions que le chef sert savent conduire.,auditory,sert,True,5.5
trial_38,GS,sr_pp,no,yes,no,,sing,sing,sing,patient,peintre,élit,Auprès du patient ce peintre élit ce plombier.,auditory,du,True,6.0
trial_39,GSLS,lr_pp,no,yes,no,,plur,plur,plur,coiffeurs,dentistes,suivent,Ces coiffeurs près des dentistes suivent des médecins.,auditory,près,True,6.5
trial_40,GSLD,lr_pp,no,no,yes,,plur,sing,plur,malades,marchand,attendent,Ces malades près du marchand attendent des patients.,auditory,Les,False,7.0
